date,description,voucher_type,amount,closing
01/01/2026,EBANK:SELF/1488295005/SHREE MAHAKAL INDUSTRIES OD,Receipt,600000.00,-313901.40
01/01/2026,NEFT-KKBKH26001804318-AMARNATH ENTERPRISES,Receipt,28098.00,-285803.40
03/01/2026,Charges for PORD Customer Payment :003339072517,Payment,5.60,-285809.00
03/01/2026,NEFT-BARBS26003781464-KASHMIK FORMULATION PVT LTD-,Payment,27452.00,-313261.00
07/01/2026,Charges for PORD Customer Payment :003348493343,Payment,5.60,-313266.60
07/01/2026,NEFT-BARBQ26007077742-KASHMIK FORMULATION PVT LTD-,Payment,29650.00,-342916.60
11/01/2026,SMS Charges for NOV 25,Payment,0.24,-342916.84
12/01/2026,Charges for PORD Customer Payment :003360246774,Payment,5.60,-342922.44
12/01/2026,NEFT-BARBP26012643722-KASHMIK FORMULATION PVT LTD-,Payment,43185.00,-386107.44
17/01/2026,SMS Charges for DEC 25,Payment,0.47,-386107.91
19/01/2026,Charges for PORD Customer Payment :003375498213,Payment,5.60,-386113.51
19/01/2026,NEFT-BARBR26019627442-KASHMIK FORMULATION PVT LTD-,Payment,25951.00,-412064.51
23/01/2026,Charges for PORD Customer Payment :003385316986,Payment,5.60,-412070.11
23/01/2026,NEFT-BARBP26023290670-KASHMIK FORMULATION PVT LTD-,Payment,27957.00,-440027.11
23/01/2026,MBK/602354565009/16:05:01/SHREE MAHAKAL INDUSTRIE,Receipt,100000.00,-340027.11
24/01/2026,NEFT-KKBKH26024965528-AMARNATH ENTERPRISES,Receipt,19451.00,-320576.11
24/01/2026,Charges for PORD Customer Payment :003388260963,Payment,2.65,-320578.76
24/01/2026,NEFT-BARBS26024201732-KASHMIK FORMULATION PVT LTD-,Payment,7677.00,-328255.76
27/01/2026,Charges for PORD Customer Payment :003393175486,Payment,5.60,-328261.36
27/01/2026,NEFT-BARBW26027510816-KASHMIK FORMULATION PVT LTD-,Payment,30239.00,-358500.36
28/01/2026,EBANK:SELF/1492187987/SHREE MAHAKAL INDUSTRIES,Payment,30000.00,-388500.36
28/01/2026,NEFT-KKBKH26028687819-AMARNATH ENTERPRISES,Receipt,11547.00,-376953.36
31/01/2026,IMPS/P2A/603116581950/XXXXXXXXXX0245/KASH MIKFORMU,Payment,33906.00,-410859.36
31/01/2026,CHARGES FOR :IMPS/P2A/603116581950/XXXXXXXX,Payment,8.85,-410868.21
31/01/2026,30380400000241:Int.Coll:01-01-2026 to 31-01-2026,Payment,3152.00,-414020.21
04/02/2026,NEFT-KKBKH26035628986-AMARNATH ENTERPRISES,Receipt,13215.00,-400805.21
04/02/2026,Charges for PORD Customer Payment :003413914396,Payment,5.60,-400810.81
04/02/2026,NEFT-BARBS26035506375-KASHMIK FORMULATION PVT LTD-,Payment,34428.00,-435238.81
07/02/2026,Charges for PORD Customer Payment :003422571278,Payment,5.60,-435244.41
07/02/2026,NEFT-BARBP26038433385-KASHMIK FORMULATION PVT LTD-,Payment,30457.00,-465701.41
09/02/2026,MBK/604020822334/12:42:49/SHREE MAHAKAL INDUSTRIE,Receipt,100000.00,-365701.41
12/02/2026,NEFT-KKBKH26043856955-AMARNATH ENTERPRISES,Receipt,11776.00,-353925.41
12/02/2026,Charges for PORD Customer Payment :003436530455,Payment,5.60,-353931.01
12/02/2026,NEFT-BARBR26043046287-KASHMIK FORMULATION PVT LTD-,Payment,30631.00,-384562.01
16/02/2026,EBANK:SELF/1495108202/SHREE MAHAKAL INDUSTRIES GH,Payment,50000.00,-434562.01
18/02/2026,Charges for PORD Customer Payment :003449981351,Payment,5.60,-434567.61
18/02/2026,NEFT-BARBQ26049379708-KASHMIK FORMULATION PVT LTD-,Payment,59102.00,-493669.61
