date,description,voucher_type,amount,closing
02/04/2026,ACHDR/KOTAKMAHPRIMELTKKBK/32813 03453/111286870844,Receipt,1315759.62,-1315759.62
04/04/2026,SQ TOOLS-MICR INWARD CLG (CTS),Payment,30000.00,-1345759.62
06/04/2026,IMPS/P2A/609614669866/XXXXXXXXXX5 670/0,Payment,4720.00,-1350479.62
06/04/2026,CHARGES FOR :IMPS/P2A/609614669866/XXXXXXXX,Payment,5.90,-1350485.52
09/04/2026,EBANK:WIB/1503327187/,Payment,19838.00,-1370323.52
09/04/2026,EBANK:WIB/1503327508/,Payment,4601.00,-1374924.52
09/04/2026,Charges for PORD Customer Payment :003573996217,Payment,5.60,-1374930.12
09/04/2026,NEFT-BARBZ26099589467-LAXMAN NEW-PUNJAB NATIONAL B,Payment,11886.00,-1386816.12
09/04/2026,Charges for PORD Customer Payment :003573996294,Payment,5.60,-1386821.72
09/04/2026,NEFT-BARBZ26099589533-ALOK KUMAR-UNION BANK OF IND,Payment,12525.00,-1399346.72
09/04/2026,Charges for PORD Customer Payment :003573996430,Payment,5.60,-1399352.32
09/04/2026,NEFT-BARBZ26099589711-RAUSHAN KUMAR-PUNJAB NATIONA,Payment,12078.00,-1411430.32
09/04/2026,Charges for PORD Customer Payment :003573996494,Payment,2.65,-1411432.97
09/04/2026,NEFT-BARBZ26099589746-PINTU DRILL- STATE BANK OF IN,Payment,8435.00,-1419867.97
09/04/2026,Charges for PORD Customer Payment :003573996929,Payment,5.60,-1419873.57
09/04/2026,NEFT-BARBZ26099589952-SUJIT-INDIAN BANK(INB),Payment,14825.00,-1434698.57
09/04/2026,Charges for PORD Customer Payment :003573996963,Payment,5.60,-1434704.17
09/04/2026,NEFT-BARBZ26099590084-CHANDAN SETTER-PUNJAB NATION,Payment,20405.00,-1455109.17
09/04/2026,Charges for PORD Customer Payment :003573997001,Payment,5.60,-1455114.77
09/04/2026,NEFT-BARBZ26099590121-MANJEET KUMAR-CENTRAL BANK O,Payment,15336.00,-1470450.77
09/04/2026,Charges for PORD Customer Payment :003573997276,Payment,5.60,-1470456.37
09/04/2026,NEFT-BARBZ26099590054- RAMCHANDRA NEW-UNION BANK OF,Payment,12078.00,-1482534.37
10/04/2026,NEFT-002677762804-SHRI BAJRANG TRADERS,Receipt,115988.00,-1366546.37
10/04/2026,EBANK:WIB/1503400287/,Payment,13867.00,-1380413.37
11/04/2026,Charges for PORD Customer Payment :003578211485,Payment,5.60,-1380418.97
11/04/2026,NEFT-BARBS26101208379-USHA CNC OP-INDIA POST PAYME,Payment,13021.00,-1393439.97
11/04/2026,EBANK:WIB/1503554178/,Payment,12525.00,-1405964.97
13/04/2026,IMPS/P2A/610314890737/XXXXXXXXXX1 905/0,Payment,42480.00,-1448444.97
13/04/2026,CHARGES FOR :IMPS/P2A/610314890737/XXXXXXXX,Payment,8.85,-1448453.82
17/04/2026,EBANK:1504375357//01326115323180/ESI C,Payment,6216.80,-1454670.62
18/04/2026,IMPS/P2A/610813026798/XXXXXXXXXX7 269/0,Payment,3658.00,-1458328.62
18/04/2026,CHARGES FOR :IMPS/P2A/610813026798/XXXXXXXX,Payment,5.90,-1458334.52
19/04/2026,SMS Charges for MAR 26,Payment,1.89,-1458336.41
20/04/2026,IMPS/P2A/611013345113/XXXXXXXXXX9 390/0,Payment,4000.00,-1462336.41
20/04/2026,CHARGES FOR :IMPS/P2A/611013345113/XXXXXXXX,Payment,5.90,-1462342.31
21/04/2026,IMPS/P2A/611114278913/XXXXXXXXXX6 641/0,Payment,9535.00,-1471877.31
21/04/2026,CHARGES FOR :IMPS/P2A/611114278913/XXXXXXXX,Payment,5.90,-1471883.21
22/04/2026,NEFT-002700744465-SHRI BAJRANG TRADERS,Receipt,118680.00,-1353203.21
23/04/2026,HEMRAJ-MICR INWARD CLG (CTS),Payment,4400.00,-1357603.21
23/04/2026,EBANK:1505323376\26040600292109\GS T,Payment,117624.00,-1475227.21
25/04/2026,IMPS/P2A/611514673684/XXXXXXXXXX9 390/0,Payment,2000.00,-1477227.21
25/04/2026,CHARGES FOR :IMPS/P2A/611514673684/XXXXXXXX,Payment,5.90,-1477233.11
27/04/2026,EBANK:WIB/1505641811/,Receipt,200000.00,-1277233.11
27/04/2026,IMPS/P2A/611712857243/XXXXXXXXXX0 575/invno04and05,Payment,81116.00,-1358349.11
27/04/2026,CHARGES FOR :IMPS/P2A/611712857243/XXXXXXXX,Payment,8.85,-1358357.96
28/04/2026,IMPS/P2A/611814616075/XXXXXXXXXX5 606/INVOICENO184,Payment,4248.00,-1362605.96
28/04/2026,CHARGES FOR :IMPS/P2A/611814616075/XXXXXXXX,Payment,5.90,-1362611.86
28/04/2026,PENAL INTEREST WRONGLY CHAGED IN LABOD 21480600001,Receipt,135902.32,-1226709.54
28/04/2026,Loan Account Payments For : 21480600001940,Payment,135902.32,-1362611.86
29/04/2026,IMPS/P2A/611908119789/XXXXXXXXXX9 109/0,Payment,9300.00,-1371911.86
29/04/2026,CHARGES FOR :IMPS/P2A/611908119789/XXXXXXXX,Payment,5.90,-1371917.76
29/04/2026,NEFT-002712849427-SHRI BAJRANG TRADERS,Receipt,125690.00,-1246227.76
29/04/2026,21480600003494 Disbursement Credit,Receipt,2400000.00,1153772.24
29/04/2026,21480500000058 - Payoff Source a/c,Payment,2394370.43,-1240598.19
30/04/2026,IMPS/P2A/612009666378/XXXXXXXXXX6 694/0,Payment,11092.00,-1251690.19
30/04/2026,CHARGES FOR :IMPS/P2A/612009666378/XXXXXXXX,Payment,5.90,-1251696.09
30/04/2026,SELF,Payment,20000.00,-1271696.09
30/04/2026,IMPS/P2A/612016628602/XXXXXXXXXX7 473/0,Payment,22746.00,-1294442.09
30/04/2026,CHARGES FOR :IMPS/P2A/612016628602/XXXXXXXX,Payment,5.90,-1294447.99
30/04/2026,STAMP PAPER CHARGES-TRDNIT,Payment,150.00,-1294597.99
30/04/2026,21480500000058:Int.Coll:01-04-2026 to 30- 04-2026,Payment,12086.00,-1306683.99
01/05/2026,ACHDR/KOTAKMAHPRIMELTKKBK/34748 51373/111320565795,Payment,59758.00,-1366441.99
01/05/2026,Charges for PORD Customer Payment :003624793382,Payment,5.60,-1366447.59
01/05/2026,NEFT-BARBP26121345015-SETH ENTERPRISES-HDFC BANK L,Payment,33866.00,-1400313.59
06/05/2026,NEFT-HDFCH00979481187-TAJ FORGING PRIVATE LIMITED,Receipt,14104.07,-1386209.52
07/05/2026,Charges for PORD Customer Payment :003640428671,Payment,2.65,-1386212.17
07/05/2026,NEFT-BARBR26127776901- TRANSPORTER LAXMAN-STATE BAN,Payment,2000.00,-1388212.17
07/05/2026,Charges for PORD Customer Payment :003640429177,Payment,2.65,-1388214.82
07/05/2026,NEFT-BARBR26127772129-VINTEX TOOLING INDIA-I.C.I.C,Payment,4870.00,-1393084.82
11/05/2026,NEFT-SCBLH13100626587-RAMCO STEELS PVT LTD,Receipt,2728.33,-1390356.49
12/05/2026,NEFT-002738524911-SHRI BAJRANG TRADERS,Receipt,50000.00,-1340356.49
13/05/2026,Charges for PORD Customer Payment :003654518656,Payment,5.60,-1340362.09
13/05/2026,NEFT-BARBS26133483697-LAXMAN NEW-PUNJAB NATIONAL B,Payment,12060.00,-1352422.09
13/05/2026,Charges for PORD Customer Payment :003654518894,Payment,5.60,-1352427.69
13/05/2026,NEFT-BARBS26133483722-PINTU DRILL- STATE BANK OF IN,Payment,11055.00,-1363482.69
13/05/2026,Charges for PORD Customer Payment :003654519008,Payment,5.60,-1363488.29
13/05/2026,NEFT-BARBS26133483784-SUJIT-INDIAN BANK(INB),Payment,15154.00,-1378642.29
13/05/2026,Charges for PORD Customer Payment :003654519282,Payment,5.60,-1378647.89
13/05/2026,NEFT-BARBS26133484285-MANJEET KUMAR-CENTRAL BANK O,Payment,17334.00,-1395981.89
13/05/2026,Charges for PORD Customer Payment :003654519319,Payment,5.60,-1395987.49
13/05/2026,NEFT-BARBS26133484319- RAMCHANDRA NEW-UNION BANK OF,Payment,15075.00,-1411062.49
13/05/2026,Charges for PORD Customer Payment :003654519763,Payment,5.60,-1411068.09
13/05/2026,NEFT-BARBS26133484678-USHA CNC OP-INDIA POST PAYME,Payment,11558.00,-1422626.09
13/05/2026,EBANK:WIB/1508222205/,Payment,23816.00,-1446442.09
13/05/2026,EBANK:WIB/1508222278/,Payment,16838.00,-1463280.09
13/05/2026,EBANK:WIB/1508222435/,Payment,15075.00,-1478355.09
13/05/2026,Charges for PORD Customer Payment :003654529673,Payment,2.65,-1478357.74
13/05/2026,NEFT-BARBS26133494595-RAUSHAN KUMAR-PUNJAB NATIONA,Payment,9547.00,-1487904.74
14/05/2026,NEFT-002742472338-SHRI BAJRANG TRADERS,Receipt,63454.00,-1424450.74
14/05/2026,0108FBS013319626/CRE001/BINSTA,Payment,295.00,-1424745.74
14/05/2026,0108FBS013319626/PAY001/BINSTA,Payment,208.30,-1424954.04
