date,description,voucher_type,amount,closing
01/05/2025,MMT/IMPS/512109626036/mn2rFpiMyMQgJS0B/SAVITA OIL,Receipt,150.00,39880.47
01/05/2025,UPI/msgulf@sc/WS-174607159266/StandardCharte/5121,Receipt,50.00,39930.47
01/05/2025,NEFT-UTIBN62025050166557705-GOOGLEINDIADIGITAL S,Receipt,950.00,40880.47
01/05/2025,NEFT-UTIBN62025050166650859-GOOGLEINDIADIGITAL S,Receipt,4200.00,45080.47
01/05/2025,NEFT-UTIBN62025050167063128-GOOGLEINDIADIGITAL S,Receipt,1950.00,47030.47
01/05/2025,NEFT-UTIBN62025050167715720-GOOGLEINDIADIGITAL S,Receipt,950.00,47980.47
01/05/2025,NEFT-UTIBN62025050167864128-GOOGLEINDIADIGITAL S,Receipt,21.00,48001.47
01/05/2025,NEFT-UTIBN62025050168222774-GOOGLEINDIADIGITAL S,Receipt,125.00,48126.47
01/05/2025,NEFT-UTIBN62025050168614609-GOOGLEINDIADIGITAL S,Receipt,3000.00,51126.47
01/05/2025,NEFT-UTIBN62025050169356666-GOOGLEINDIADIGITAL S,Receipt,100.00,51226.47
02/05/2025,NEFT-UTIBN62025050275656141-GOOGLEINDIADIGITAL S,Receipt,10.00,51236.47
02/05/2025,NEFT-UTIBN62025050275927767-GOOGLEINDIADIGITAL S,Receipt,1205.00,52441.47
02/05/2025,NEFT-UTIBN62025050276069703-GOOGLEINDIADIGITAL S,Receipt,39.00,52480.47
02/05/2025,NEFT-UTIBN62025050276097647-GOOGLEINDIADIGITAL S,Receipt,1120.00,53600.47
02/05/2025,NEFT-UTIBN62025050276170239-GOOGLEINDIADIGITAL S,Receipt,430.00,54030.47
02/05/2025,NEFT-UTIBN62025050276518353-GOOGLEINDIADIGITAL S,Receipt,200.00,54230.47
02/05/2025,NEFT-UTIBN62025050277459912-GOOGLEINDIADIGITAL S,Receipt,1050.00,55280.47
02/05/2025,NEFT-UTIBN62025050277552243-GOOGLEINDIADIGITAL S,Receipt,285.00,55565.47
02/05/2025,NEFT-UTIBN62025050277836986-GOOGLEINDIADIGITAL S,Receipt,1000.00,56565.47
02/05/2025,MMT/IMPS/512216427282/advancepaymentt/TYRESALES/HD,Payment,14024.00,42541.47
02/05/2025,MMT/IMPS/512216427282/advancepaymentt/TYRESALES/HD,Receipt,14024.00,56565.47
02/05/2025,INF/INFT/040126953981/advancepaymentt/TYRESALES1,Payment,14024.00,42541.47
02/05/2025,MMT/IMPS/512217573489/paymenttowardsi/HARIENTERP/B,Payment,24000.00,18541.47
02/05/2025,NEFT-UTIBN62025050278757764-GOOGLEINDIADIGITAL S,Receipt,2400.00,20941.47
02/05/2025,NEFT-UTIBN62025050278996090-GOOGLEINDIADIGITAL S,Receipt,2000.00,22941.47
02/05/2025,NEFT-UTIBN62025050279003531-GOOGLEINDIADIGITAL S,Receipt,1270.00,24211.47
03/05/2025,NEFT-UTIBN62025050386137955-GOOGLEINDIADIGITAL S,Receipt,360.00,24571.47
03/05/2025,NEFT-UTIBN62025050386194322-GOOGLEINDIADIGITAL S,Receipt,235.00,24806.47
03/05/2025,NEFT-UTIBN62025050386642433-GOOGLEINDIADIGITAL S,Receipt,640.00,25446.47
03/05/2025,NEFT-UTIBN62025050388071422-GOOGLEINDIADIGITAL S,Receipt,280.00,25726.47
03/05/2025,NEFT-UTIBN62025050389175149-GOOGLEINDIADIGITAL S,Receipt,2900.00,28626.47
04/05/2025,NEFT-UTIBN62025050496544413-GOOGLEINDIADIGITAL S,Receipt,325.00,28951.47
04/05/2025,NEFT-UTIBN62025050496553149-GOOGLEINDIADIGITAL S,Receipt,1850.00,30801.47
04/05/2025,NEFT-UTIBN62025050496675059-GOOGLEINDIADIGITAL S,Receipt,35.00,30836.47
04/05/2025,NEFT-UTIBN62025050497257718-GOOGLEINDIADIGITAL S,Receipt,350.00,31186.47
04/05/2025,NEFT-UTIBN62025050497422726-GOOGLEINDIADIGITAL S,Receipt,200.00,31386.47
04/05/2025,NEFT-UTIBN62025050497504619-GOOGLEINDIADIGITAL S,Receipt,75.00,31461.47
04/05/2025,NEFT-UTIBN62025050497723279-GOOGLEINDIADIGITAL S,Receipt,335.00,31796.47
05/05/2025,BusinessLoanXX05537EMI Tiru,Payment,11019.00,20777.47
05/05/2025,NEFT-UTIBN62025050505169835-GOOGLEINDIADIGITAL S,Receipt,250.00,21027.47
05/05/2025,NEFT-UTIBN62025050505479188-GOOGLEINDIADIGITAL S,Receipt,350.00,21377.47
05/05/2025,NEFT-UTIBN62025050506461450-GOOGLEINDIADIGITAL S,Receipt,1050.00,22427.47
05/05/2025,NEFT-UTIBN62025050506826670-GOOGLEINDIADIGITAL S,Receipt,2895.00,25322.47
05/05/2025,MMT/IMPS/512515507361/ReqPay/tirupatiau/State Bank,Receipt,36000.00,61322.47
05/05/2025,INF/INFT/040156616151/paymenttowardsi/TYRECENTRE2,Payment,31500.00,29822.47
05/05/2025,NEFT-UTIBN62025050507984778-GOOGLEINDIADIGITAL S,Receipt,700.00,30522.47
05/05/2025,NEFT-UTIBN62025050508535614-GOOGLEINDIADIGITAL S,Receipt,200.00,30722.47
06/05/2025,NEFT-UTIBN62025050615778090-GOOGLEINDIADIGITAL S,Receipt,190.00,30912.47
06/05/2025,NEFT-UTIBN62025050615820582-GOOGLEINDIADIGITAL S,Receipt,790.00,31702.47
06/05/2025,NEFT-UTIBN62025050616661539-GOOGLEINDIADIGITAL S,Receipt,410.00,32112.47
06/05/2025,NEFT-UTIBN62025050618889013-GOOGLEINDIADIGITAL S,Receipt,10.00,32122.47
07/05/2025,NEFT-UTIBN62025050725492834-GOOGLEINDIADIGITAL S,Receipt,40.00,32162.47
07/05/2025,NEFT-UTIBN62025050725542544-GOOGLEINDIADIGITAL S,Receipt,50.00,32212.47
07/05/2025,NEFT-UTIBN62025050725653471-GOOGLEINDIADIGITAL S,Receipt,2300.00,34512.47
