date,description,voucher_type,amount,closing
02/04/2026,EDCPOS Credit / ANIL MEDICAL HA/ 02-04-2026,Receipt,9719.73,18111.69
02/04/2026,NEFT/YESAP60920668105/YESB/PAYTMPAYMENTS SERVICES,Receipt,616.00,18727.69
02/04/2026,BY CASH-6201- ANIL,Receipt,45000.00,63727.69
02/04/2026,NEFT/YESAP60925555111/YESB/PhonePeLimited,Receipt,52015.64,115743.33
02/04/2026,KHURANA ENTERPRISES,Payment,29253.00,86490.33
02/04/2026,Medisurge,Payment,7696.00,78794.33
02/04/2026,KISHORE BROTHERS,Payment,10869.00,67925.33
02/04/2026,Guru Nanak Medicos P,Payment,6146.00,61779.33
02/04/2026,JAGAT SINGH AND SONS,Payment,7167.00,54612.33
02/04/2026,NEFT/HSBCN09234706425/HSBC/LOVEINSTORESERVICES PR,Receipt,319.00,54931.33
03/04/2026,NEFT/YESAP60935121377/YESB/PhonePeLimited,Receipt,56377.52,111308.85
03/04/2026,EDCPOS Credit / ANIL MEDICAL HA/ 03-04-2026,Receipt,14760.71,126069.56
03/04/2026,BY CASH-6201- ANIL,Receipt,46000.00,172069.56
03/04/2026,SHIVA REMEDIES,Payment,4843.00,167226.56
03/04/2026,CHIEF MEDICAL AGENCI,Payment,3548.00,163678.56
03/04/2026,SHIVA REMEDIES,Payment,7331.00,156347.56
03/04/2026,SHIVA REMEDIES,Payment,7747.00,148600.56
03/04/2026,MEDIKING,Payment,14829.00,133771.56
03/04/2026,SHIVA REMEDIES,Payment,6447.00,127324.56
03/04/2026,R P ASSOCIATES,Payment,12564.00,114760.56
03/04/2026,VAISHNAVI ENTERPRISE,Payment,6481.00,108279.56
03/04/2026,MEDICOS HEALTHCARE U,Payment,20227.00,88052.56
04/04/2026,NEFT/YESAP60945146782/YESB/PhonePeLimited,Receipt,45374.04,133426.60
04/04/2026,EDCPOS Credit / ANIL MEDICAL HA/ 04-04-2026,Receipt,1441.45,134868.05
04/04/2026,BY CASH-6201- RAKESH,Receipt,35000.00,169868.05
04/04/2026,Gupta Agencies,Payment,4825.00,165043.05
04/04/2026,JAGAT SINGH AND SONS,Payment,3359.00,161684.05
04/04/2026,KRIS AGENCIES,Payment,6287.00,155397.05
04/04/2026,IBNEFT/KKBK/CHANDIGARHENTERPRISES,Payment,2449.00,152948.05
04/04/2026,IBNEFT/SBIN/OSWAL ENTERPRISES,Payment,14332.00,138616.05
04/04/2026,IBNEFT/SBIN/R S PHARMA,Payment,8656.00,129960.05
04/04/2026,IBNEFT/KKBK/SELVEL SALESAGENCIES,Payment,8016.00,121944.05
04/04/2026,IBNEFT/HDFC/SINGLA MEDICOSPHARMA SOLUTION,Payment,19657.00,102287.05
04/04/2026,IBNEFT/PUNB/KAUL AGENCIES,Payment,10662.00,91625.05
04/04/2026,IBNEFT/IDIB/GARG PHARMACEUTICALS,Payment,9746.00,81879.05
04/04/2026,IBNEFT/SCBL/HOLLY DRUGS PVT LTD,Payment,22113.00,59766.05
04/04/2026,IBNEFT/UBIN/JP PHARMA SOLUTIONSPVT LTD,Payment,16658.00,43108.05
05/04/2026,EDCPOS Credit / ANIL MEDICAL HA/ 05-04-2026,Receipt,13455.57,56563.62
05/04/2026,NEFT/YESAP60955138251/YESB/PhonePeLimited,Receipt,69481.15,126044.77
05/04/2026,IBNEFT/CNRB/MITTAL ENTERPRISES,Payment,11513.00,114531.77
