date,description,voucher_type,amount,closing
08/03/2026,NEFT UTIBN62026030823198651 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,50.00,-16970120.27
08/03/2026,NEFT UTIBN62026030823648842 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,9300.00,-16960820.27
09/03/2026,NEFT UTIBN62026030933148200 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,240.00,-16960580.27
09/03/2026,IMPS/48/606809511066/**2457 /KAPOOR LUXURY HOMES/SH 606809511066,Receipt,50000.00,-16910580.27
09/03/2026,NEFT UTIBN62026030933252954 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,100.00,-16910480.27
09/03/2026,NEFT UTIBN62026030933276075 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,160.00,-16910320.27
09/03/2026,NEFT UTIBN62026030933515678 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,400.00,-16909920.27
09/03/2026,NEFT MAHBN72026030944526201 Pushplila wires BKID0000910,Payment,33400.00,-16943320.27
09/03/2026,NEFT UTIBN62026030933860875 RAZORPAY PAYMENTS PVT UTIB0001506,Receipt,50000.00,-16893320.27
09/03/2026,NEFT SIDCN52026030900123577 PROP SHANKAR STEEL SIDC0001046,Receipt,50000.00,-16843320.27
09/03/2026,NEFT UTIBN62026030935977319 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,50000.00,-16793320.27
09/03/2026,RTGS MAHBR52026030923220463 Goa ispat private limi PUNB0016410,Payment,200000.00,-16993320.27
09/03/2026,RTGS CHARGES,Payment,5.00,-16993325.27
09/03/2026,GST,Payment,0.90,-16993326.17
10/03/2026,NEFT UTIBN62026031045177649 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,360.00,-16992966.17
10/03/2026,NEFT UTIBN62026031045346938 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,800.00,-16992166.17
10/03/2026,NEFT UTIBN62026031046519524 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,1050.00,-16991116.17
11/03/2026,NEFT UTIBN62026031157128404 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,560.00,-16990556.17
11/03/2026,NEFT UTIBN62026031157618306 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,156.00,-16990400.17
11/03/2026,NEFT UTIBN62026031158921568 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,1000.00,-16989400.17
11/03/2026,RTGS BKIDR52026031100221518 PALAV PETROLEUM BKID0001451,Receipt,260000.00,-16729400.17
11/03/2026,NEFT DNSBN52026031101714430 PALAV PETROEUM DNSB0000077,Receipt,50000.00,-16679400.17
11/03/2026,RTGS MAHBR52026031123247549 Goa ispat private limi PUNB0016410,Payment,300000.00,-16979400.17
11/03/2026,RTGS CHARGES,Payment,5.00,-16979405.17
11/03/2026,GST,Payment,0.90,-16979406.07
12/03/2026,IMPS/48/607112594174/**2457 /KAPOOR LUXURY HOMES/SH 607112594174,Receipt,210000.00,-16769406.07
12/03/2026,NEFT MAHBN72026031245013569 Palav petroleum DNSB0000077,Payment,100000.00,-16869406.07
12/03/2026,NEFT UTIBN62026031272053907 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,600.00,-16868806.07
13/03/2026,NEFT UTIBN62026031382279175 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,1875.00,-16866931.07
13/03/2026,UPI 607293403596/SBIN/Rushikesh Ramchandra Dalvi/U 607293403596,Receipt,24130.00,-16842801.07
13/03/2026,NEFT SIDCN52026031300125251 MR TARA RAM SIDC0001046,Receipt,50000.00,-16792801.07
13/03/2026,RTGS MAHBR52026031323267213 Shankar Steel SIDC0001046,Payment,200000.00,-16992801.07
13/03/2026,RTGS CHARGES,Payment,5.00,-16992806.07
13/03/2026,GST,Payment,0.90,-16992806.97
13/03/2026,NEFT UTIBN62026031384999316 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,200.00,-16992606.97
14/03/2026,NEFT UTIBN62026031496292387 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,160.00,-16992446.97
14/03/2026,NEFT UTIBN62026031496412696 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,400.00,-16992046.97
14/03/2026,NEFT BARBN52026031408861200 CASCON ENGINEERS PRIVA BARB0MORNAX,Receipt,35200.00,-16956846.97
15/03/2026,NEFT UTIBN62026031508462133 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,700.00,-16956146.97
16/03/2026,NEFT UTIBN62026031617368022 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,800.00,-16955346.97
16/03/2026,NEFT CNRBN62026031618063385 ANAND ANKUSH MASURKAR CNRB0015387,Receipt,152000.00,-16803346.97
16/03/2026,NEFT UTIBN62026031618305622 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,330.00,-16803016.97
16/03/2026,NEFT UTIBN62026031618330453 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,550.00,-16802466.97
16/03/2026,NEFT SIDCN52026031600126261 MR TARA RAM SIDC0001046,Receipt,50000.00,-16752466.97
16/03/2026,IMPS/48/607516529847/**8311 /MAHADEV MARBLE AND TIL 607516529847,Receipt,50000.00,-16702466.97
16/03/2026,NEFT UTIBN62026031619642643 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,330.00,-16702136.97
16/03/2026,NEFT UTIBN62026031619833182 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,900.00,-16701236.97
16/03/2026,NEFT UTIBN62026031620585111 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,300.00,-16700936.97
16/03/2026,NEFT UTIBN62026031620849351 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,2700.00,-16698236.97
16/03/2026,NEFT UTIBN62026031620919418 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,660.00,-16697576.97
16/03/2026,RTGS MAHBR52026031623296743 Goa ispat private limi PUNB0016410,Payment,300000.00,-16997576.97
16/03/2026,RTGS CHARGES,Payment,5.00,-16997581.97
16/03/2026,GST,Payment,0.90,-16997582.87
16/03/2026,NEFT UTIBN62026031621017982 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,50.00,-16997532.87
17/03/2026,NEFT UTIBN62026031729802525 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,960.00,-16996572.87
17/03/2026,NEFT UTIBN62026031729807403 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,408.00,-16996164.87
17/03/2026,NEFT UTIBN62026031729830721 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,400.00,-16995764.87
17/03/2026,NEFT UTIBN62026031731267603 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,240.00,-16995524.87
17/03/2026,NEFT UTIBN62026031731339407 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,24500.00,-16971024.87
17/03/2026,NEFT DNSBN52026031702579320 PALAV PETROEUM DNSB0000077,Receipt,100000.00,-16871024.87
17/03/2026,NEFT UTIBN62026031732346260 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,300.00,-16870724.87
17/03/2026,NEFT UTIBN62026031732922849 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,250.00,-16870474.87
18/03/2026,NEFT UTIBN62026031841708316 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,160.00,-16870314.87
18/03/2026,IMPS/48/607712542443/**1223 /TARA RAM/NA 607712542443,Receipt,90000.00,-16780314.87
18/03/2026,RTGS MAHBR52026031823316006 Goa ispat private limi PUNB0016410,Payment,200000.00,-16980314.87
18/03/2026,RTGS CHARGES,Payment,5.00,-16980319.87
18/03/2026,GST,Payment,0.90,-16980320.77
18/03/2026,NEFT UTIBN62026031843841059 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,1250.00,-16979070.77
18/03/2026,NEFT UTIBN62026031844839031 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,350.00,-16978720.77
18/03/2026,NEFT UBINN52026031832307413 EMPIRE REALINFRA UBIN0537748,Receipt,2000000.00,-14978720.77
18/03/2026,RTGS MAHBR52026031823327534 Radhe Krishna steels PUNB0035710,Payment,600000.00,-15578720.77
18/03/2026,RTGS CHARGES,Payment,10.00,-15578730.77
18/03/2026,GST,Payment,1.80,-15578732.57
18/03/2026,NEFT UTIBN62026031845381217 GOOGLE INDIA DIGITAL S UTIB0000553,Receipt,270.00,-15578462.57
18/03/2026,CHQ DT 18/03/2026 BCB- 416002857,Receipt,100000.00,-15478462.57
18/03/2026,NEFT MAHBN72026031845766002 NARPATKUMAR HADMATARAM SIDC0001040,Payment,50000.00,-15528462.57
19/03/2026,NEFT MAHBN72026031945780539 MALANI AND SONS BKID0001446,Payment,50000.00,-15578462.57
19/03/2026,NEFT MAHBN72026031945780569 Pushplila wires BKID0000910,Payment,23200.00,-15601662.57
19/03/2026,RTGS MAHBR52026031923328782 Shankar Steel SIDC0001046,Payment,1000000.00,-16601662.57
