date,description,voucher_type,amount,closing
01/04/2025,NEFT CR-YESPH50910636556-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,530.00,-391419.28
02/04/2025,NEFT CR-YESPH50921204599-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,92.00,-391327.28
03/04/2025,NEFT CR-YESPH50931371538-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,1280.00,-390047.28
04/04/2025,NEFT CR-YESPH50941240090-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,135.00,-389912.28
05/04/2025,NEFT CR-YESPH50951306816-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,453.00,-389459.28
06/04/2025,NEFT CR-YESPH50961222960-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,483.00,-388976.28
07/04/2025,NEFT CR-YESPH50971188338-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,2215.00,-386761.28
08/04/2025,NEFT CR-YESPH50981274537-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,265.00,-386496.28
09/04/2025,NEFT CR-YESPH50991317458-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,595.00,-385901.28
09/04/2025,COM:NESL FEE INV NESL2425FA6464 CASA,Payment,54.50,-385955.78
09/04/2025,GST:NESL FEE INV NESL2425FA6464 CASA,Payment,9.81,-385965.59
10/04/2025,NEFT CR-YESPH51001258810-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,285.00,-385680.59
11/04/2025,NEFT CR-YESPH51011241650-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,340.00,-385340.59
12/04/2025,NEFT CR-YESPH51021531069-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,170.00,-385170.59
13/04/2025,NEFT CR-YESPH51031478860-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,880.00,-384290.59
14/04/2025,NEFT CR-YESPH51041402045-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,190.00,-384100.59
15/04/2025,NEFT CR-YESPH51051436636-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,440.00,-383660.59
16/04/2025,NEFT CR-YESPH51061290093- YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,65.00,-383595.59
17/04/2025,NEFT CR-YESPH51071279315-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,50.00,-383545.59
18/04/2025,NEFT CR-YESPH51081272497-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,235.00,-383310.59
19/04/2025,NEFT CR-YESPH51091224232-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,170.00,-383140.59
20/04/2025,NEFT CR-YESPH51101255096-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,375.00,-382765.59
21/04/2025,NEFT CR-YESPH51111180443-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,120.00,-382645.59
22/04/2025,NEFT CR-YESPH51121184829-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,430.00,-382215.59
23/04/2025,NEFT CR-YESPH51131285178-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,160.00,-382055.59
24/04/2025,NEFT CR-YESPH51141291550-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,52.00,-382003.59
25/04/2025,NEFT CR-YESPH51151286578-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,50.00,-381953.59
26/04/2025,NEFT CR-YESPH51161464350-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,140.00,-381813.59
27/04/2025,NEFT CR-YESPH51171408324-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,150.00,-381663.59
28/04/2025,NEFT CR-YESPH51181365689-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,645.00,-381018.59
29/04/2025,NEFT CR-YESPH51191362860-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,247.00,-380771.59
30/04/2025,NEFT CR-YESPH51201216728-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,35.00,-380736.59
30/04/2025,CHQ PAID-MICR INWARD CLEARING-MITTAL INDUSTRIAL CORPOR-PUNJAB NATIONAL BANK (PNB)-PUNJAB NATIONAL BANK,Payment,4350.00,-385086.59
30/04/2025,CASA DEBIT INTEREST CAPITALIZED,Payment,3556.00,-388642.59
01/05/2025,NEFT CR-YESPH51211225921-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,110.00,-388532.59
02/05/2025,NEFT CR-YESPH51221219231-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,90.00,-388442.59
03/05/2025,NEFT CR-YESPH51231291055-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,130.00,-388312.59
04/05/2025,NEFT CR-YESPH51241243205-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,36.00,-388276.59
05/05/2025,NEFT CR-YESPH51251250911-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,55.00,-388221.59
06/05/2025,NEFT CR-YESPH51261206954-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,75.00,-388146.59
07/05/2025,NEFT CR-YESPH51271271069-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,85.00,-388061.59
08/05/2025,NEFT CR-YESPH51281209623-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,145.00,-387916.59
09/05/2025,NEFT CR-YESPH51291221177-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,2560.00,-385356.59
10/05/2025,NEFT CR-YESPH51301223420-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,103.00,-385253.59
12/05/2025,NEFT CR-YESPH51321157130-YESB0000001-PHONEPE PRIVATE LIMI FOR PHONEPE PR-,Receipt,60.00,-385193.59
