date,description,voucher_type,amount,closing
19/12/2025,NEFT CR-HDFCH00683650100-HDFC0000240-A.J. SHRINKWRAP PRIVATE LIMITED--0001-NEFT - MODERN GLASS-57500000830417Chq: 0,Receipt,100000.00,467025.65
20/12/2025,MB/94533070000511/MODERNGLASS ANDALU/4165261000045/VISHALTIMBER ANDPLY/CANARA/BOARD/18267182627/20/12/2025 10:46:35Chq: 0,Payment,80000.00,387025.65
20/12/2025,MB-IMPS-DR/SAVITRIENTERPR/YESB/**0534/BOARD/20/12/202513:42:58/535413602502Chq: 535413602502,Payment,33613.00,353412.65
20/12/2025,IMPS SCChq: 535413602502,Payment,9.44,353403.21
23/12/2025,MB-IMPS-DR/SHREE RAMALUMI/UBIN/**0252/ALUMINIUM/23/12/202511:26:52/535711250231Chq: 535711250231,Payment,50000.00,303403.21
23/12/2025,IMPS SCChq: 535711250231,Payment,9.44,303393.77
24/12/2025,161003048847 -ZAHID KHANDRAWDOWN FROM CASA.Chq: 0,Payment,17235.00,286158.77
24/12/2025,MB-IMPS-DR/SAVITRIENTERPR/YESB/**0534/ALUMINIUM /24/12/202509:56:47/535809480450Chq: 535809480450,Payment,96400.00,189758.77
24/12/2025,IMPS SCChq: 535809480450,Payment,9.44,189749.33
24/12/2025,MB-IMPS-DR/SAVITRIENTERPR/YESB/**0534/PVC/24/12/202510:01:23/535810480954Chq: 535810480954,Payment,3900.00,185849.33
24/12/2025,IMPS SCChq: 535810480954,Payment,3.54,185845.79
24/12/2025,NEFT CR-KKBKH25358975993-KKBK0000958-TECHNIKS--PAYMENTChq: 0,Receipt,100.00,185945.79
25/12/2025,SMS CHARGES ON ACTUALBASISChq: 0,Payment,15.00,185930.79
26/12/2025,NEFT CR-HDFCH00695852977-HDFC0000240-SPERENECOMPOUNDING PRIVATELIMITED--0001-DOMNEFT01 -C17334261225135515 - --DOMNEChq: 0,Receipt,9676.00,195606.79
28/12/2025,MB-IMPS-DR/MOHDJUNAID/SBIN/**1181/LABER/28/12/2025 12:44:10/536212462746Chq: 536212462746,Payment,25000.00,170606.79
28/12/2025,IMPS SCChq: 536212462746,Payment,9.44,170597.35
29/12/2025,MB-IMPS-DR/SAVITRIENTERPR/YESB/**0534/ALUMINIUM /29/12/202511:13:48/536311633969Chq: 536311633969,Payment,94881.00,75716.35
29/12/2025,IMPS SCChq: 536311633969,Payment,9.44,75706.91
29/12/2025,NEFT CR-JAKAH25363006670-JAKA0GHAZIA-SAMPRODUCTS PVT LIMITED--URGENT//Chq: 0,Receipt,30541.00,106247.91
