date,description,voucher_type,amount,closing
01/06/2026,TFR:V SATHYAMOORTHYAND CO,Receipt,4333511.97,4333511.97
03/06/2026,FN/SHP/11000366317354/ZERODHA BROKINGLTD_ATOM TEC,Payment,1000000.00,3333511.97
06/06/2026,CASH:VENKATRAMAN,Receipt,30000.00,3363511.97
08/06/2026,UPIOUT/615952870379/angelone.nse.brk@validic/6211,Payment,100000.00,3263511.97
08/06/2026,UPIOUT/615952895305/angelone.nse.brk@validic/6211,Payment,100000.00,3163511.97
08/06/2026,UPIOUT/615952941831/angelone.nse.brk@validic/6211,Payment,100000.00,3063511.97
08/06/2026,UPIOUT/615963321543/paytmqr5y2vme@ptys/UPI/5812,Payment,90.00,3063421.97
10/06/2026,UPIOUT/616167114558/rhinoguards-2.bdpg@kotak/5271,Payment,708.30,3062713.67
10/06/2026,RTG/VSATHYAMOORTHY/HDFCR52026061069062047/ HDFCR5202606 1069062047,Receipt,1050000.00,4112713.67
10/06/2026,RTG/THE DREAMHOME/HDFCR52026061069141180/ HDFCR5202606 1069141180,Receipt,350000.00,4462713.67
10/06/2026,NFT/AURA POWERPRIV/IDIBH16145746380/INDIAN IDIBH16145746 380,Receipt,350000.00,4812713.67
10/06/2026,UPIOUT/616113104998/contact2shobi-1@okhdfcba/0000,Payment,50000.00,4762713.67
11/06/2026,UPIOUT/616235029904/ecommifymediapvtltd.payu/5200,Payment,2564.05,4760149.62
11/06/2026,UPIOUT/616250116913/angelone.nse.brk@validhd/6211,Payment,100000.00,4660149.62
11/06/2026,UPIOUT/616250180996/groww.brk@validhdfc/Paid/6211,Payment,100000.00,4560149.62
11/06/2026,NFT/TRINEVA INFRAP/HDFCH01057884470/HDFCBANK HDFCH0105788 4470,Receipt,200000.00,4760149.62
12/06/2026,STD INS TO17970600015833 / ARAVINDANS S73759751,Payment,6000.00,4754149.62
