date,description,voucher_type,amount,closing
01/04/2026,PENAL CHARGES,Payment,9628.03,-8191450.01
01/04/2026,HGAKP181661031104494-IDFCFIRSTBA-BILLPAY-50200026202917,Payment,10000.00,-8201450.01
01/04/2026,EMI 125370720 CHQ S1253707200151 0426125370720,Payment,43567.00,-8245017.01
01/04/2026,"RTGS DR-SBIN0009995-BPCLMUMBAI-NETBANK,MUM-HDFCR52026033190413833-BPCL HDFCR52026033190",Payment,800000.00,-9045017.01
02/04/2026,BHAWANI GAS SEWA CR - 50200081899271 - BHAWANI GAS SEWA,Receipt,2000000.00,-7045017.01
02/04/2026,RTGS CR-UTIB0BHIW01-BHAWANI GASSEWA-BHAWANI GAS SEWA-UTIBR72026040200428648 UTIBR72026040200,Receipt,800000.00,-6245017.01
02/04/2026,HGAKP064AF1048560057-IDFCFIRSTBA-BILLPAY-50200026202917,Payment,10000.00,-6255017.01
07/04/2026,EMI 154052977 CHQ S1540529770122 0426154052977,Payment,12616.00,-6267633.01
08/04/2026,HGAKP113AD1110570295-IDFCFIRSTBA-BILLPAY-50200026202917,Payment,10000.00,-6277633.01
08/04/2026,M G MOTORS DR - 50200116864251 - M G MOTORS,Payment,41570.00,-6319203.01
08/04/2026,HGAKP0EF5D1116151575-DAKSHINHARY-BILLPAY-50200026202917,Payment,103.00,-6319306.01
08/04/2026,HGAKP0AE5A1116222577-DAKSHINHARY-BILLPA-50200026202917 Y 0000000409093677,Payment,854.00,-6320160.01
09/04/2026,HGALP13CE10004422725-IDFCFIRSTBA-BILLPAY-50200026202917,Payment,10000.00,-6330160.01
12/04/2026,"NEFT DR-PUNB0329700-CHANIGA FILLING STATION-NETBANK,MUM-HDFCH00929580850-CHAGIYA HDFCH00929580850",Payment,153945.00,-6484105.01
13/04/2026,RTGS CR-PUNB0329700-BHAWANI GASSEWA-BHAWANI GAS SEWA-PUNBR52026041315830697 PUNBR52026041315,Receipt,490000.00,-5994105.01
15/04/2026,SI HGAKP1845B1083770370 BSNL LA-15/04/26,Payment,1236.00,-5995341.01
15/04/2026,50200053292697-TPT-GAS BILL CLEAR-UNIVERSAL HOSPITALITY SERVICES,Receipt,305270.00,-5690071.01
16/04/2026,NEFT CR-PUNB0329700-BHAWANI GASSEWA-BHAWANI GAS SEWA-PUNBK26106089223 PUNBK26106089223,Receipt,150000.00,-5540071.01
16/04/2026,BHAWANI GAS SEWA CR - 50200100062896 - GOYAL FABRICATION,Receipt,15424.00,-5524647.01
17/04/2026,"RTGS DR-SBIN0009995-BPCLMUMBAI-NETBANK,MUM-HDFCR52026041796775743-BPCL MUMBAI HDFCR52026041796",Payment,800000.00,-6324647.01
18/04/2026,RTGS CR-UTIB0BHIW01-BHAWANI GASSEWA-BHAWANI GAS SEWA-UTIBR72026041800422938 UTIBR72026041800,Receipt,588000.00,-5736647.01
20/04/2026,EMI 89257953 CHQ S892579530281 042689257953,Payment,83960.00,-5820607.01
20/04/2026,HGALP11B150120099985-IDFCFIRSTBA-BILLPAY-50200026202917,Payment,10000.00,-5830607.01
24/04/2026,NEFT CR-CBIN0280403-AMAR STRIPS-BHWANI GAS SEWA-CBINH26114039617 CBINH26114039617,Receipt,36228.00,-5794379.01
28/04/2026,801540893_12570258-1_PRP_INS_ERGO_EEG,Payment,8777.00,-5803156.01
29/04/2026,FT - CR - 57500000565455 - GAUTAM SOLARPRIVATE LIMITED,Receipt,59264.00,-5743892.01
29/04/2026,NEFT CR-PUNB0329700-BHAWANI GASSEWA-BHAWANI GAS SEWA-PUNBO26119804207 PUNBO26119804207,Receipt,100000.00,-5643892.01
29/04/2026,IMPS-611917056890-GAUTAM SOLAR PRIVATE-ICIC-XXXXXXXX4890-BHAWANI GAS SEW 0000611917056890,Receipt,60000.00,-5583892.01
01/05/2026,INTEREST DEBITED TILL 30-APR-2026,Payment,57958.00,-5641850.01
