date,description,voucher_type,amount,closing
08/04/2025,ACH/YES BANK RETAIL ASSE/ICIC00000000 16681010/000CVL0 0050186521225098 0556540,Payment,20890.00,12989.15
09/04/2025,ECSRTN1_08042500 00000016681010,Payment,590.00,12399.15
09/04/2025,ECSRTN2_08042500 00000016681010,Payment,590.00,11809.15
10/04/2025,ECSRTN3_08042500 00000016681010,Payment,590.00,11219.15
11/04/2025,BIL/ONL/000996624 850/Transport,Payment,1842.16,9376.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48351,Payment,160.00,9216.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48352,Payment,72.00,9144.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48354,Payment,78.00,9066.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48356,Payment,72.00,8994.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48357,Payment,160.00,8834.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48358,Payment,160.00,8674.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48361,Payment,160.00,8514.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48362,Payment,72.00,8442.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48367,Payment,160.00,8282.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48369,Payment,160.00,8122.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48372,Payment,160.00,7962.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48375,Payment,72.00,7890.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48380,Payment,72.00,7818.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48382,Payment,78.00,7740.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48386,Payment,72.00,7668.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48390,Payment,160.00,7508.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48393,Payment,160.00,7348.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48397,Payment,160.00,7188.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48400,Payment,72.00,7116.99
16/04/2025,VEHICLE LN_INT OVERDUE_XX48403,Payment,72.00,7044.99
17/04/2025,NEFT- UTIBN62025041720 531649-VIJAY TRANSCAB INDIA P LTD-0037450- 912020023300770- UTIB0001182,Receipt,1825000.00,1832044.99
17/04/2025,GIB/002040721280/ GST /25043300249328,Payment,1821692.00,10352.99
17/04/2025,LVCHEXX48403- BOUNCECHGSAPR2 5GST,Payment,59.00,10293.99
17/04/2025,LVCHEXX48400- BOUNCECHGSAPR2 5GST,Payment,59.00,10234.99
17/04/2025,LVCHEXX48397- BOUNCECHGSAPR2 5GST,Payment,59.00,10175.99
17/04/2025,LVCHEXX48393- BOUNCECHGSAPR2 5GST,Payment,59.00,10116.99
17/04/2025,LVCHEXX48386- BOUNCECHGSAPR2 5GST,Payment,59.00,10057.99
17/04/2025,LVCHEXX48390- BOUNCECHGSAPR2 5GST,Payment,59.00,9998.99
17/04/2025,LVCHEXX48382- BOUNCECHGSAPR2 5GST,Payment,59.00,9939.99
17/04/2025,LVCHEXX48380- BOUNCECHGSAPR2 5GST,Payment,59.00,9880.99
17/04/2025,LVCHEXX48375- BOUNCECHGSAPR2 5GST,Payment,59.00,9821.99
17/04/2025,LVCHEXX48372- BOUNCECHGSAPR2 5GST,Payment,59.00,9762.99
17/04/2025,LVCHEXX48369- BOUNCECHGSAPR2 5GST,Payment,59.00,9703.99
17/04/2025,LVCHEXX48367- BOUNCECHGSAPR2 5GST,Payment,59.00,9644.99
17/04/2025,LVCHEXX48362- BOUNCECHGSAPR2 5GST,Payment,59.00,9585.99
17/04/2025,LVCHEXX48361- BOUNCECHGSAPR2 5GST,Payment,59.00,9526.99
17/04/2025,LVCHEXX48358- BOUNCECHGSAPR2 5GST,Payment,59.00,9467.99
17/04/2025,LVCHEXX48354- BOUNCECHGSAPR2 5GST,Payment,59.00,9408.99
17/04/2025,LVCHEXX48352- BOUNCECHGSAPR2 5GST,Payment,59.00,9349.99
17/04/2025,LVCHEXX48351- BOUNCECHGSAPR2 5GST,Payment,59.00,9290.99
17/04/2025,LVCHEXX48357- BOUNCECHGSAPR2 5GST,Payment,59.00,9231.99
17/04/2025,LVCHEXX48356- BOUNCECHGSAPR2 5GST,Payment,59.00,9172.99
22/04/2025,BIL/ONL/001000671 494/eChallan T,Payment,505.90,8667.09
22/04/2025,BIL/ONL/001000672 627/eChallan T,Payment,1511.80,7155.29
22/04/2025,BIL/ONL/001000673 705/eChallan T,Payment,505.90,6649.39
22/04/2025,BIL/ONL/001000674 915/eChallan T,Payment,505.90,6143.49
22/04/2025,BIL/ONL/001000676 305/eChallan T,Payment,505.90,5637.59
22/04/2025,BIL/ONL/001000677 132/Tamil Nadu,Payment,1011.80,4625.79
22/04/2025,BIL/ONL/001000678 305/eChallan T,Payment,105.90,4519.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX65176,Payment,46.00,4473.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX65177,Payment,46.00,4427.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX65178,Payment,46.00,4381.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX53129,Payment,50.00,4331.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX53130,Payment,50.00,4281.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX53131,Payment,50.00,4231.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX53132,Payment,50.00,4181.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX53133,Payment,50.00,4131.89
23/04/2025,VEHICLE LN_INT OVERDUE_XX53134,Payment,50.00,4081.89
23/04/2025,LVCHEXX53130- BOUNCECHGSAPR2 5GST,Payment,59.00,4022.89
23/04/2025,LVCHEXX53129- BOUNCECHGSAPR2 5GST,Payment,59.00,3963.89
23/04/2025,LVCHEXX53134- BOUNCECHGSAPR2 5GST,Payment,59.00,3904.89
23/04/2025,LVCHEXX53133- BOUNCECHGSAPR2 5GST,Payment,59.00,3845.89
23/04/2025,LVCHEXX53132- BOUNCECHGSAPR2 5GST,Payment,59.00,3786.89
23/04/2025,LVCHEXX53131- BOUNCECHGSAPR2 5GST,Payment,59.00,3727.89
23/04/2025,LVCHEXX65178- BOUNCECHGSAPR2 5GST,Payment,59.00,3668.89
23/04/2025,LVCHEXX65177- BOUNCECHGSAPR2 5GST,Payment,59.00,3609.89
23/04/2025,LVCHEXX65176- BOUNCECHGSAPR2 5GST,Payment,59.00,3550.89
26/04/2025,INF/INFT/040068359 621/JOVEE HUMAN SOL,Receipt,100000.00,103550.89
26/04/2025,MMT/IMPS/5116182 13007/TRANSCABA XIS/UTIB0001182,Payment,100000.00,3550.89
28/04/2025,BIL/ONL/001002923 405/eChallan T,Payment,505.90,3044.99
28/04/2025,BIL/ONL/001002925 048/eChallan T,Payment,505.90,2539.09
28/04/2025,BIL/ONL/001002926 154/eChallan T,Payment,105.90,2433.19
28/04/2025,BIL/ONL/001002927 120/eChallan T,Payment,105.90,2327.29
28/04/2025,BIL/ONL/001002928 613/eChallan T,Payment,505.90,1821.39
29/04/2025,IMPS Chg Mar- 25+GST,Payment,5.90,1815.49
29/04/2025,Mob alrt Chg Mar- 25+GST,Payment,29.50,1785.99
03/05/2025,NEFT- UTIBN62025050387 530762-VIJAY TRANSCAB INDIA P LTD-0037504- 912020023300770- UTIB0001182,Receipt,25000.00,26785.99
03/05/2025,BIL/ONL/001006082 731/ELECTRONIC/M ADESHA,Payment,25000.00,1785.99
06/05/2025,NEFT- UTIBN62025050616 323248-VIJAY TRANSCAB INDIA P LTD-0037508- 912020023300770- UTIB0001182,Receipt,650000.00,651785.99
06/05/2025,BIL/ONL/001007600 522/eChallan T/MADESHA,Payment,505.90,651280.09
06/05/2025,BIL/ONL/001007601 709/eChallan T/MADESHA,Payment,2711.80,648568.29
06/05/2025,BIL/ONL/001007627 642/Transport,Payment,31536.16,617032.13
06/05/2025,BIL/ONL/001007628 911/Transport,Payment,31536.16,585495.97
06/05/2025,BIL/ONL/001007636 112/Transport,Payment,31536.16,553959.81
06/05/2025,BIL/ONL/001007638 244/Transport,Payment,31536.16,522423.65
06/05/2025,BIL/ONL/001007640 234/Transport,Payment,31536.16,490887.49
06/05/2025,BIL/ONL/001007641 955/Transport,Payment,31536.16,459351.33
06/05/2025,BIL/ONL/001007643 880/Transport,Payment,31536.16,427815.17
06/05/2025,BIL/ONL/001007645 695/Transport,Payment,31536.16,396279.01
06/05/2025,BIL/ONL/001007647 543/Transport,Payment,31536.16,364742.85
06/05/2025,BIL/ONL/001007650 520/Transport,Payment,31536.16,333206.69
06/05/2025,BIL/ONL/001007651 749/Transport,Payment,31536.16,301670.53
06/05/2025,BIL/ONL/001007652 954/Transport,Payment,31536.16,270134.37
06/05/2025,BIL/ONL/001007653 820/Transport,Payment,31536.16,238598.21
06/05/2025,BIL/ONL/001007654 806/Transport,Payment,31536.16,207062.05
06/05/2025,BIL/ONL/001007656 531/Transport,Payment,31536.16,175525.89
06/05/2025,BIL/ONL/001007657 442/Transport,Payment,31536.16,143989.73
06/05/2025,BIL/ONL/001007658 594/Transport,Payment,19416.16,124573.57
06/05/2025,BIL/ONL/001007660 078/Transport,Payment,19416.16,105157.41
06/05/2025,BIL/ONL/001007660 915/Transport,Payment,19416.16,85741.25
06/05/2025,BIL/ONL/001007662 110/Transport,Payment,19416.16,66325.09
06/05/2025,MMT/IMPS/5126170 11521/TRANSCABA XIS/UTIB0001182,Payment,60000.00,6325.09
09/05/2025,NEFT- UTIBN62025050947 471662-VIJAY TRANSCAB INDIA P LTD-0037521- 912020023300770- UTIB0001182,Receipt,1150000.00,1156325.09
09/05/2025,NEFT- UTIBN62025050947 471628-VIJAY TRANSCAB INDIA P LTD-0037522- 912020023300770- UTIB0001182,Receipt,655000.00,1811325.09
09/05/2025,BIL/ONL/001009131 675/Transport /MADESHA,Payment,19416.16,1791908.93
09/05/2025,BIL/ONL/001009132 632/Transport /MADESHA,Payment,19416.16,1772492.77
09/05/2025,BIL/ONL/001009133 580/Transport /MADESHA,Payment,19416.16,1753076.61
09/05/2025,BIL/ONL/001009134 288/Transport /MADESHA,Payment,19416.16,1733660.45
09/05/2025,BIL/ONL/001009135 083/Transport /MADESHA,Payment,19416.16,1714244.29
09/05/2025,BIL/ONL/001009136 767/Transport /MADESHA,Payment,19416.16,1694828.13
09/05/2025,BIL/ONL/001009137 568/Transport /MADESHA,Payment,19416.16,1675411.97
09/05/2025,BIL/ONL/001009140 342/Transport /MADESHA,Payment,19416.16,1655995.81
09/05/2025,BIL/ONL/001009141 269/Transport /MADESHA,Payment,19416.16,1636579.65
09/05/2025,BIL/ONL/001009142 899/Transport /MADESHA,Payment,19416.16,1617163.49
09/05/2025,BIL/ONL/001009144 907/Transport /MADESHA,Payment,19416.16,1597747.33
09/05/2025,BIL/ONL/001009145 691/Transport /MADESHA,Payment,19416.16,1578331.17
09/05/2025,BIL/ONL/001009149 586/Transport /MADESHA,Payment,19416.16,1558915.01
09/05/2025,BIL/ONL/001009150 396/Transport /MADESHA,Payment,19416.16,1539498.85
09/05/2025,BIL/ONL/001009151 364/Transport /MADESHA,Payment,19416.16,1520082.69
09/05/2025,BIL/ONL/001009152 169/Transport /MADESHA,Payment,19416.16,1500666.53
09/05/2025,BIL/ONL/001009152 877/Transport /MADESHA,Payment,19416.16,1481250.37
09/05/2025,BIL/ONL/001009155 155/Transport /MADESHA,Payment,19416.16,1461834.21
09/05/2025,BIL/ONL/001009156 930/Transport,Payment,19416.16,1442418.05
09/05/2025,BIL/ONL/001009158 043/Transport,Payment,19416.16,1423001.89
09/05/2025,BIL/ONL/001009158 754/Transport,Payment,19416.16,1403585.73
09/05/2025,BIL/ONL/001009160 845/Transport,Payment,19416.16,1384169.57
09/05/2025,BIL/ONL/001009161 693/Transport,Payment,19416.16,1364753.41
09/05/2025,BIL/ONL/001009162 391/Transport,Payment,19416.16,1345337.25
09/05/2025,BIL/ONL/001009163 200/Transport,Payment,19416.16,1325921.09
