date,description,voucher_type,amount,closing
02/04/2025,187005002256:Int.Coll:03-03-2025to 01-04-2025,Payment,37404.00,-4683271.02
03/04/2025,RTGS-HDFCR52025040357349821-PUNAJCORP-99997777777,Receipt,3500000.00,-1183271.02
06/04/2025,penalcharges,Payment,0.28,-1183271.30
30/04/2025,RENEWALFEE_SR269219435,Payment,5000.00,-1188271.30
30/04/2025,SGST202504306088176954,Payment,450.00,-1188721.30
31/03/2026,RTGS-HDFCR52026033190246692-PUNAJCORP-99997777777,Receipt,3000000.00,-559735.76
01/04/2026,RTGS-HDFCR52026040190461052-PUNAJCORP-99997777777,Receipt,4200000.00,3640264.24
01/04/2026,187005002256:Int.Coll:02-03-2026to 31-03-2026,Payment,26110.00,3614154.24
02/04/2026,RTGS/ICICR42026040200533355/IBKL0001867/ASHWINIE,Payment,998237.00,2615917.24
02/04/2026,INF/INFT/043918309631/Self-XXX286,Payment,500000.00,2115917.24
03/04/2026,RTGS-HDFCR52026040291215816-PUNAJCORP-99997777777,Receipt,4900000.00,7015917.24
03/04/2026,MMT/IMPS/609312066625/adv/AnilSavlir/SBIN0011677,Payment,100000.00,6915917.24
03/04/2026,INF/INFT/043937454291/adv/CR1ELECMETPV,Payment,1000.00,6914917.24
04/04/2026,MMT/IMPS/609413365972/adv/Thakrenand/HCBL0000104,Payment,100000.00,6814917.24
04/04/2026,MMT/IMPS/609417880213/MSTRADINGCORPOR/SBIN0014885,Payment,371238.00,6443679.24
04/04/2026,MMT/IMPS/609419271875/loanemi/DipakPatil/HDFC00004,Payment,75280.00,6368399.24
05/04/2026,INF/INFT/043953469661/adv/CR1ELECMETPV,Payment,1000000.00,5368399.24
07/04/2026,RTGS/ICICR42026040700553469/HDFC0005095/ROYALGRE,Payment,980542.00,4387857.24
08/04/2026,MMT/IMPS/609810563862/adv/SureshUtta/SBIN0008319,Payment,1000.00,4386857.24
08/04/2026,MMT/IMPS/609810565290/adv/SureshUtta/SBIN0008319,Payment,399000.00,3987857.24
08/04/2026,RTGS/ICICR42026040800533943/YESB0SMBLHO/JaiAmbe,Payment,1000000.00,2987857.24
08/04/2026,RTGS/ICICR42026040800534073/YESB0SMBLHO/JaiAmbe,Payment,1000000.00,1987857.24
08/04/2026,RTGS/ICICR42026040800534353/YESB0SMBLHO/JaiAmbe,Payment,550000.00,1437857.24
08/04/2026,RTGS/ICICR42026040800537851/KKBK0001913/BIGENTER,Payment,1000000.00,437857.24
08/04/2026,RTGS/ICICR42026040800538102/KKBK0001913/BIGENTER,Payment,500000.00,-62142.76
08/04/2026,RTGS/ICICR42026040800538247/HDFC0003669/SAHYADRI,Payment,1000000.00,-1062142.76
08/04/2026,RTGS/ICICR42026040800553478/HDFC0002802/DECORLIN,Payment,619902.00,-1682044.76
08/04/2026,MMT/IMPS/609823305345/materialnill/Rahulcable/YESB,Payment,256470.00,-1938514.76
08/04/2026,MMT/IMPS/609823305345/materialnill/Rahulcable/YESB,Receipt,256470.00,-1682044.76
08/04/2026,MMT/IMPS/609823306226/material/Rahulcable/YESB0000,Payment,256470.00,-1938514.76
08/04/2026,MMT/IMPS/609823306226/material/Rahulcable/YESB0000,Receipt,256470.00,-1682044.76
09/04/2026,MMT/IMPS/609916594685/advmaterialmate/Chhayahome/H,Payment,30000.00,-1712044.76
09/04/2026,RTGS/ICICR42026040900555506/IBKL0001991/TURNINGP,Payment,1000000.00,-2712044.76
09/04/2026,MMT/IMPS/609917731895/nilltilldatemat/RahulCable/I,Payment,256470.00,-2968514.76
10/04/2026,INF/INFT/044025971801/Self-XXX286,Receipt,1000000.00,-1968514.76
13/04/2026,MMT/IMPS/610318124989/advtileskalwan/CERAMICZON/KK,Payment,30000.00,-1998514.76
16/04/2026,RTGS/ICICR42026041600506788/YESB0SMBLHO/JaiAmbe,Payment,1000000.00,-2998514.76
16/04/2026,RTGS/ICICR42026041600506929/YESB0SMBLHO/JaiAmbe,Payment,1000000.00,-3998514.76
16/04/2026,INF/INFT/044098840431/Self-XXX286,Receipt,1000000.00,-2998514.76
16/04/2026,RTGS/ICICR42026041600529723/YESB0SMBLHO/JaiAmbe,Payment,1000000.00,-3998514.76
16/04/2026,INF/INFT/044105652111/Self-XXX286,Receipt,1000000.00,-2998514.76
16/04/2026,RTGS/ICICR42026041600581854/YESB0SMBLHO/JaiAmbe,Payment,450031.00,-3448545.76
17/04/2026,MMT/IMPS/610714027792/advc/OmElectric/HDFC0006242,Payment,162075.00,-3610620.76
17/04/2026,MMT/IMPS/610716249077/advforofficecha/bachubhaic/H,Payment,110000.00,-3720620.76
18/04/2026,MMT/IMPS/610817972602/adv/RajeshUtta/BARB0DBGNGA,Payment,150000.00,-3870620.76
21/04/2026,MMT/IMPS/611109693304/advreturn/AlkaHalde/INDB0002,Payment,401000.00,-4271620.76
22/04/2026,MMT/IMPS/611218520421/adv/Chhayahome/HDFC0CPIMCO,Payment,30000.00,-4301620.76
23/04/2026,INF/INFT/044164638711/Self-XXX286/adv,Receipt,1000000.00,-3301620.76
23/04/2026,INF/INFT/044164639061/Self-XXX286/adv,Receipt,1000000.00,-2301620.76
23/04/2026,INF/INFT/044164639631/Self-XXX286/adv,Receipt,1000000.00,-1301620.76
23/04/2026,INF/INFT/044164639781/Self-XXX286/adv,Receipt,1000000.00,-301620.76
24/04/2026,MMT/IMPS/611418021405/npac/MundadaCor/CIUB0000182,Payment,97500.00,-399120.76
29/04/2026,MMT/IMPS/611914717711/sk/ASHISHVISA/SBIN0012239,Payment,250000.00,-649120.76
02/05/2026,187005002256:Int.Coll:02-04-2026to 01-05-2026,Payment,11213.00,-660333.76
04/05/2026,MMT/IMPS/612412211517/adv/muktasales/HDFC0004885,Payment,30051.00,-690384.76
04/05/2026,MMT/IMPS/612415661385/emi/DipakPatil/HDFC0000486,Payment,75280.00,-765664.76
04/05/2026,MMT/IMPS/612415664580/emi/DipakPatil/HDFC0000486,Payment,28477.00,-794141.76
06/05/2026,MMT/IMPS/612613992325/nillglassfilm/Chhayahome/HDF,Payment,11000.00,-805141.76
06/05/2026,MMT/IMPS/612613091140/adv/ASHISHVISA/SBIN0012239,Payment,200000.00,-1005141.76
06/05/2026,MMT/IMPS/612613097895/advsanket/VaishaliIn/SBIN001,Payment,150000.00,-1155141.76
06/05/2026,RTGS/ICICR42026050600554509/PUNB0484300/MS ARC,Payment,1000000.00,-2155141.76
06/05/2026,RTGS/ICICR42026050600555165/PUNB0484300/MS ARC,Payment,322964.00,-2478105.76
06/05/2026,RTGS/ICICR42026050600555922/BARB0DBADGA/SHREEMAH,Payment,782457.00,-3260562.76
06/05/2026,INF/INFT/044310437701/materialNamokat/OrianaEnergi,Payment,103211.00,-3363773.76
07/05/2026,INF/INFT/044319259371/Self-XXX286/adv,Receipt,1000000.00,-2363773.76
07/05/2026,INF/INFT/044319279921/Self-XXX286/adv,Receipt,1000000.00,-1363773.76
07/05/2026,INF/INFT/044319290461/Self-XXX286/adv,Receipt,1000000.00,-363773.76
10/05/2026,MMT/IMPS/613010717637/adv/AnilSavlir/SBIN0011677,Payment,100000.00,-463773.76
10/05/2026,MMT/IMPS/613019453188/adv/RajeshUtta/BARB0DBGNGA,Payment,100000.00,-563773.76
10/05/2026,MMT/IMPS/613019454136/RajeshUttamraoT/BARB0DBGNGA,Payment,100000.00,-663773.76
10/05/2026,INF/INFT/044368933371/Self-XXX286,Receipt,500000.00,-163773.76
16/05/2026,MMT/IMPS/613613313752/adv/AnilSavlir/SBIN0011677,Payment,50000.00,-213773.76
16/05/2026,MMT/IMPS/613613316997/adv/YogeshHald/INDB0002311,Payment,100000.00,-313773.76
16/05/2026,MMT/IMPS/613613317592/adv/YogeshHald/INDB0002311,Payment,100000.00,-413773.76
16/05/2026,INF/INFT/044453091921/Self-XXX286/adv,Receipt,500000.00,86226.24
19/05/2026,MMT/IMPS/613912995345/adv/muktasales/HDFC0004885,Payment,20567.00,65659.24
22/05/2026,RTGS/ICICR42026052200544737/UBIN0534595/AMIT INFR,Payment,1000000.00,-934340.76
22/05/2026,RTGS/ICICR42026052200544909/UBIN0534595/AMIT INFR,Payment,1000000.00,-1934340.76
22/05/2026,MMT/IMPS/614216845203/forcreditcard/RohanVinay/IDF,Payment,260285.00,-2194625.76
24/05/2026,MMT/IMPS/614407116953/advreturnnandur/AmitInfras/U,Payment,274000.00,-2468625.76
28/05/2026,INF/INFT/044561743741/Self-XXX286/adv,Receipt,1000000.00,-1468625.76
28/05/2026,INF/INFT/044561764501/Self-XXX286,Receipt,500000.00,-968625.76
29/05/2026,RTGS/ICICR42026052900516169/HDFC0002541/CIDCOELE,Payment,900543.00,-1869168.76
29/05/2026,MMT/IMPS/614911774661/advc/CidcoElect/HDFC0002541,Payment,100000.00,-1969168.76
31/05/2026,MMT/IMPS/615119541146/adv/AnilSavlir/SBIN0011677,Payment,30000.00,-1999168.76
01/06/2026,MMT/IMPS/615214206406/advforemi/DipakPatil/HDFC000,Payment,75280.00,-2074448.76
01/06/2026,MMT/IMPS/615214207578/advforemi/DipakPatil/HDFC000,Payment,28477.00,-2102925.76
02/06/2026,RTGS-HDFCR52026060165510081-PUNAJCORP-99997777777,Receipt,350000.00,-1752925.76
02/06/2026,187005002256:Int.Coll:02-05-2026to 01-06-2026,Payment,7363.00,-1760288.76
06/06/2026,RTGS-HDFCR52026060567384961-PUNAJCORP-99997777777,Receipt,330000.00,-1430288.76
06/06/2026,RTGS-HDFCR52026060667434702-PUNAJCORP-99997777777,Receipt,1000000.00,-430288.76
10/06/2026,MMT/IMPS/616109175144/I10car/VipinArvin/SBIN001169,Payment,350000.00,-780288.76
10/06/2026,INF/INFT/044732368881/Self-XXX286/adv,Payment,500000.00,-1280288.76
11/06/2026,MMT/IMPS/616213872088/advc/MangalElec/TJSB0000045,Payment,452464.00,-1732752.76
11/06/2026,MMT/IMPS/616232340029/IMPStransactio/PUNAJCORP/H,Receipt,450000.00,-1282752.76
12/06/2026,MMT/IMPS/616310342485/adv/YogeshHald/INDB0002311,Payment,100000.00,-1382752.76
12/06/2026,MMT/IMPS/616310345930/adv/YogeshHald/INDB0002311,Payment,100000.00,-1482752.76
12/06/2026,MMT/IMPS/616316304864/adv/MSFOREVERM/BKID0000091,Payment,100000.00,-1582752.76
12/06/2026,RTGS-HDFCR52026061270165613-PUNAJCORP-99997777777,Receipt,4500000.00,2917247.24
12/06/2026,RTGS/ICICR42026061200557125/BKID0000091/MSFOREVE,Payment,900000.00,2017247.24
12/06/2026,INF/NEFT/IN42616350059315/BKID0000091/MSFOREVERMEP,Payment,1000000.00,1017247.24
12/06/2026,RTGS/ICICR42026061200557372/BKID0000091/MSFOREVE,Payment,1000000.00,17247.24
12/06/2026,RTGS/ICICR42026061200557648/BKID0000091/MSFOREVE,Payment,1000000.00,-982752.76
12/06/2026,INF/NEFT/IN42616350064822/BKID0000091/advc,Payment,1000000.00,-1982752.76
12/06/2026,INF/NEFT/IN42616350067179/BKID0000091/advc,Payment,1000000.00,-2982752.76
15/06/2026,RTGS/ICICR42026061500548470/NMCB0000027/BHANUDAS,Payment,1000000.00,-3982752.76
16/06/2026,MMT/IMPS/616714645013/advc/shreemElec/TJSB0000045,Payment,270000.00,-4252752.76
16/06/2026,MMT/IMPS/616715750287/advnill/muktasales/HDFC00048,Payment,28967.00,-4281719.76
17/06/2026,RTGS-HDFCR52026061771742288-PUNAJCORP-99997777777,Receipt,4500000.00,218280.24
