date,description,voucher_type,amount,closing
02/03/2026,CMS/001898607787/BAJAJ_AUTO_CD__413BLFEI569325,Receipt,1253646.20,1253646.20
02/03/2026,INF/NEFT/IN42606153896055/BARB0PORXXX/SRUTICOPPER,Payment,194611.00,1059035.20
02/03/2026,INF/NEFT/IN42606153900035/HDFC0000033/YESHA,Payment,96320.00,962715.20
02/03/2026,INF/NEFT/IN42606153902502/BARB0AKOTAX/COMPUCAREITZONE,Payment,218645.00,744070.20
02/03/2026,Processing Fee_SR280449424,Payment,42900.00,701170.20
02/03/2026,SGST202603026839913922,Payment,3861.00,697309.20
02/03/2026,CGST202603026839913924,Payment,3861.00,693448.20
03/03/2026,INF/NEFT/IN42606255234147/BARB0NADASH/ASHIK,Payment,24000.00,669448.20
03/03/2026,INF/NEFT/IN42606255235426/KKBK0000843/SHEETAL,Payment,12000.00,657448.20
03/03/2026,INF/NEFT/IN42606255236259/SBIN0070160/VISHNUPRIYAAES,Payment,55000.00,602448.20
03/03/2026,INF/NEFT/IN42606255236906/SBIN0015569/BHAVYASREEAES,Payment,40000.00,562448.20
03/03/2026,INF/NEFT/IN42606255238190/SBIN0070970/SREELAKSHMIAES,Payment,22500.00,539948.20
03/03/2026,INF/NEFT/IN42606255238664/PMEC0101515/DEEPIKAAES,Payment,18572.00,521376.20
03/03/2026,INF/NEFT/IN42606255240235/SBIN0000573/BHARAT,Payment,16500.00,504876.20
03/03/2026,INF/NEFT/IN42606255242222/SBIN0000573/NILESH,Payment,23216.00,481660.20
03/03/2026,INF/NEFT/IN42606255243035/SBIN0001035/RAMANAES,Payment,19286.00,462374.20
03/03/2026,INF/NEFT/IN42606255245346/SBIN0011018/JAGDISHAES,Payment,14465.00,447909.20
03/03/2026,INF/NEFT/IN42606255248037/BARB0PANETH/AAKASHAES,Payment,12325.00,435584.20
03/03/2026,INF/NEFT/IN42606255249005/BARB0PANETH/VISHNUAES,Payment,15000.00,420584.20
03/03/2026,INF/NEFT/IN42606255250383/BARB0PORXXX/BHAILALAES,Payment,10288.00,410296.20
03/03/2026,INF/NEFT/IN42606255250944/BARB0NANFOF/KISHANKUMARAES,Payment,16500.00,393796.20
04/03/2026,INF/NEFT/IN42606355985661/CNRB0003889/HKLAMINATION,Payment,350000.00,43796.20
05/03/2026,"CASH PAID:self 4013 PORCHQ,106020",Payment,40000.00,3796.20
06/03/2026,INF/NEFT/IN42606557052874/HDFC0003070/CHANDRIKACOOK,Payment,5000.00,-1203.80
06/03/2026,INF/NEFT/IN42606557054534/BARB0SANGLI/MAGNEWIN,Payment,30000.00,-31203.80
06/03/2026,INF/NEFT/IN42606557302801/KKBK0002606/ELECTRIXZONE,Payment,22892.00,-54095.80
06/03/2026,NEFT-BKIDY26065351712-TUSHAR TRANS EQUIPMENT PVTLTD-/BOI-300030110000018-BKID0003000,Receipt,16800.00,-37295.80
06/03/2026,INF/INFT/043601702261/Kamarajan /KAMARAJANJ,Payment,100000.00,-137295.80
06/03/2026,INF/NEFT/IN42606557879207/BARB0PRABAR/ISTRYSANMAN,Payment,3218.00,-140513.80
08/03/2026,INF/NEFT/IN42606759513025/KKBK0000958/KOTAKCC9711,Payment,33357.00,-173870.80
08/03/2026,BIL/BPAY/FCC0045951/ICICI BANKCRED/noRemark/4375513022480017,Payment,208087.00,-381957.80
09/03/2026,INF/NEFT/IN42606850037080/BARB0DBMAKA/SHREEHARIENTERP,Payment,74045.00,-456002.80
09/03/2026,INF/NEFT/IN42606850208693/SBIN0013438/MASSTECHNOLGY,Payment,118721.00,-574723.80
10/03/2026,INF/NEFT/IN42606951049499/KKBK0000843/Paint Purchase/SHEETAL,Payment,9334.00,-584057.80
10/03/2026,INF/NEFT/IN42606951052419/BKID0002506/SAGVFD,Payment,32155.00,-616212.80
10/03/2026,INF/NEFT/IN42606951057346/BKID0002609/MAATEMPO,Payment,2800.00,-619012.80
10/03/2026,INF/NEFT/IN42606951061201/UTIB0004564/BALAJICRANE,Payment,5610.00,-624622.80
10/03/2026,INF/NEFT/IN42606951063102/KKBK0000841/NARENHARDWARE,Payment,5428.00,-630050.80
14/03/2026,INF/NEFT/IN42607354285857/UBIN0910988/BHAVNALASER,Payment,38038.00,-668088.80
