date,description,voucher_type,amount,closing
17/09/2025,,,,
17/09/2025,CHARGESCIC REPORT CHARG,Receipt,30.00,-30.00
17/09/2025,RT 10.450 TO 8.40%,,,
18/09/2025,REPAYMENT RECEIVEDTRANSFER FROMSI LOAN OVERDUE AMTTRANSFER FROM 81346,Receipt,30.00,-0.00
18/09/2025,ADVANCE:LOAN TO GLrtgsIDIBH26147566932 /,Payment,800000.00,-800000.00
30/09/2025,O.S. PRINCIPAL REPATRANSFER FROMSITRANSFER FROM 81346,Receipt,30000.00,-770000.00
30/09/2025,INTEREST,Payment,2387.00,-772387.00
30/10/2025,O.S. PRINCIPAL REPATRANSFER FROMSITRANSFER FROM 81346,Receipt,30000.00,-742387.00
31/10/2025,INTEREST,Payment,5496.00,-747883.00
06/11/2025,ADVANCE:LOAN TO GLSOFTENBAKETRF BANK-UTIB /IDIB,Payment,200000.00,-947883.00
30/11/2025,O.S. PRINCIPAL REPATRANSFER FROMSITRANSFER FROM 81346,Receipt,30000.00,-917883.00
30/11/2025,INTEREST,Payment,6307.00,-924190.00
06/12/2025,RT 8.400 TO 8.15%,,,
30/12/2025,O.S. PRINCIPAL REPATRANSFER FROMSITRANSFER FROM 81346,Receipt,30000.00,-894190.00
31/12/2025,ADVANCE:LOAN TO GLCGTMSE FEETRF BANK-ICIC /IDIB,Payment,15930.00,-910120.00
31/12/2025,INTEREST,Payment,6419.00,-916539.00
08/01/2026,ADVANCE:LOAN TO GLH NARESH INDUSTRIETRF BANK-UTIB /IDIB,Payment,850000.00,-1766539.00
30/01/2026,O.S. PRINCIPAL REPATRANSFER FROMSITRANSFER FROM 81346,Receipt,30000.00,-1736539.00
31/01/2026,INTEREST,Payment,10886.00,-1747425.00
28/02/2026,O.S. PRINCIPAL REPATRANSFER FROMSITRANSFER FROM 81346,Receipt,30000.00,-1717425.00
28/02/2026,INTEREST,Payment,10918.00,-1728343.00
14/03/2026,CHARGESINSPECTION CHARGES,Payment,1659.00,-1730002.00
28/03/2026,O.S. PRINCIPAL REPATRANSFER FROMSITRANSFER FROM 81346,Receipt,30000.00,-1700002.00
30/03/2026,CHARGESCG20251960191TC AS,Payment,3010.00,-1703012.00
31/03/2026,,,,
31/03/2026,INTEREST,Payment,12113.00,-1715125.00
