date,description,voucher_type,amount,closing
01/06/2026,324078980106000002-HINDUSTANTRADERS-1647135000007652-SUPPLIER PAY,Payment,3628300.00,-87716194.21
01/06/2026,KVBLR52026060166394742-JAAYSTEELS-650014157199-SUPPLIERPAY,Payment,1871700.00,-89587894.21
01/06/2026,RTGS IB CHARGES,Payment,35.40,-89587929.61
01/06/2026,KVBLR52026060166394743-Zoku design and technologies PvtLtd-439011003319-SUPPLIER PAY,Payment,380000.00,-89967929.61
01/06/2026,RTGS IB CHARGES,Payment,17.70,-89967947.31
01/06/2026,KVBLH00262660618-ADOREENTERPRISES-602005501792-SUPPLIER PAY,Payment,94000.00,-90061947.31
01/06/2026,FT - CR - 1170135000014074 - VSATHYAMOORTHY AND CO RPPJV - KVB,Receipt,10500000.00,-79561947.31
01/06/2026,KVBLR52026060166404948-V.SATHYAMOORTHY CO HDFCOD-50200037130260-self,Payment,2634000.00,-82195947.31
01/06/2026,RTGS IB CHARGES,Payment,35.40,-82195982.71
01/06/2026,KVBLR52026060166407030-Sathyamoorthy V-50200032549032-loan Due,Payment,1510250.00,-83706232.71
01/06/2026,RTGS IB CHARGES,Payment,35.40,-83706268.11
01/06/2026,KVBLR52026060166403598-AnandavadivelHDFC-50100080045500-loan due,Payment,310000.00,-84016268.11
01/06/2026,RTGS IB CHARGES,Payment,17.70,-84016285.81
01/06/2026,UPI-CR-124061440741-RAJU P-HDFC-09681050057536-accounttesting 124061440741,Receipt,1.00,-84016284.81
02/06/2026,"FD Redeem Interest-1170501000235826/42 -V.SATHYAMOORTHY & CO., - 23-Jul-2026",Receipt,27139.00,-83989145.81
02/06/2026,"FD Redeem Principal-1170501000235826/42 -V.SATHYAMOORTHY & CO., - 23-Jul-2026",Receipt,631000.00,-83358145.81
03/06/2026,KVBLH00262863670-SREE DESIGNERHARDWARES-768505000157-SUPPLIER PAY,Payment,78132.00,-83436277.81
03/06/2026,KVBLH00262863671-BATHCAFF-925020019255411-SUPPLIER PAY,Payment,42887.00,-83479164.81
03/06/2026,KVBLR52026060366453850-KALPANA TIMBERDEPOT-06410500000020-SUPPLIER PAY,Payment,850000.00,-84329164.81
03/06/2026,RTGS IB CHARGES,Payment,35.40,-84329200.21
04/06/2026,KVBLH00262934651-KASSADOORS AND BUILDPRO PVTLTD-50200080174111-Supplier Pay,Payment,68511.00,-84397711.21
04/06/2026,KVBLH00262934656-CHANDANLITES PVT LTD-920020028124363-Supplier Pay,Payment,96524.00,-84494235.21
04/06/2026,KVBLR52026060466479712-SARAVANAA ELECTRICALAGENCIES-512020010020409-Supplier Pay,Payment,459865.00,-84954100.21
04/06/2026,RTGS IB CHARGES,Payment,17.70,-84954117.91
05/06/2026,KVBLR52026060566492639-JAIHIND WIRE ROD MILLS PVTLTD-1255718831-Supplier Pay,Payment,2500000.00,-87454117.91
05/06/2026,RTGS IB CHARGES,Payment,35.40,-87454153.31
05/06/2026,UPI-CR-124243190842-RAJU P-HDFC-09681050057536-Fairlandphase 10 4 124243190842,Receipt,10000.00,-87444153.31
06/06/2026,TINNEW-26060600453749-UPTDS-1914102000000581 H.O,Payment,1774960.00,-89219113.31
06/06/2026,450215010606000002-RPP INFRAPROJECTS L-1282223000000405-RPP INFRA,Receipt,23425000.00,-65794113.31
08/06/2026,KVBLR52026060866557413-JAIHIND WIRE ROD MILLS PVTLTD-1255718831-Supplier Pay,Payment,4000000.00,-69794113.31
08/06/2026,RTGS IB CHARGES,Payment,35.40,-69794148.71
09/06/2026,NEFT CR-MAHB0000479-Shakthiganesh Infra Pvt Ltd-V Sathyamoorthi and Co-MAHBH00955123386,Receipt,3570000.00,-66224148.71
09/06/2026,NEFT CR-MAHB0000479-Shakthiganesh Infra Pvt Ltd-V Sathyamoorthi and Co-MAHBH00955123387,Receipt,116363.00,-66107785.71
09/06/2026,KVBLR52026060966583221-KOTAKOD-9176004444-Self,Payment,350000.00,-66457785.71
09/06/2026,RTGS IB CHARGES,Payment,17.70,-66457803.41
09/06/2026,Initial Payin FD -1170501000235826-V.SATHYAMOORTHY & CO,Payment,1570000.00,-68027803.41
10/06/2026,KVBLR52026061066597224-MVINOTH-17970100041701-SupplierPay,Payment,5000000.00,-73027803.41
10/06/2026,RTGS IB CHARGES,Payment,35.40,-73027838.81
10/06/2026,CA0IBGP261610004CO-1170100626000004-FRS,Payment,108069.12,-73135907.93
10/06/2026,CA0IBGP261610004CH-1170100626000005-FRS,Payment,2360.00,-73138267.93
11/06/2026,RAZORPAY-T0CFFBwFYYMELH-EWIZARD-TenderFee-1763102000000263 H.O,Payment,17759.00,-73156026.93
11/06/2026,RAZORPAY-T0CIb7keyxvfpa-EWIZARD-Cost ofTender-1763102000000263 H.O,Payment,7139.00,-73163165.93
11/06/2026,KVBLR52026061166617804-EWIZARD-NALND2000038E7V66V-EMD Fees,Payment,2000035.00,-75163200.93
11/06/2026,RTGS IB CHARGES,Payment,35.40,-75163236.33
