date,description,voucher_type,amount,closing
02/05/2026,NEFT_IN:22CITIN266 62620454CITI010000 0//CITIN26662620454 /INDIAIDEAS.COM LTD BBPS,Receipt,3726.00,
02/05/2026,NEFT_IN:22CITIN266 62617293CITI010000 0//CITIN26662617293 /INDIAIDEAS.COM LTD BBPS,Receipt,5589.00,
02/05/2026,NEFT_IN:24CITIN266 62630783CITI010000 0//CITIN26662630783 /INDIAIDEAS.COM LIMITED-,Receipt,3726.00,
02/05/2026,NEFT_IN:24CITIN266 62633623CITI010000 0//CITIN26662633623 /INDIAIDEAS.COM LIMITED-,Receipt,1863.00,
02/05/2026,NEFT_IN:29YESIG61 220048894YESB0000 001//YESIG61220048 894/EURONET SERVICES IND,Receipt,931.50,
02/05/2026,NEFT_IN:29YESIG61 220043283YESB0000 001//YESIG61220043 283/EURONET SERVICES IND,Receipt,2794.50,
02/05/2026,NEFT_IN:31SCBLH1 2200673380SCBL003 6001//SCBLH122006 73380/EURONET SERVICES INDIA P,Receipt,12109.50,
02/05/2026,NEFT_IN:31SCBLH1 2200670464SCBL003 6001//SCBLH122006 70464/EURONET SERVICES INDIA P,Receipt,21424.50,
02/05/2026,NEFT_IN:36HDFCH0 0970018646HDFC00 00240//HDFCH00970 018646/UNITED RUBBER GRANULES,Receipt,18798.00,
02/05/2026,NEFT_IN:41YESIG61 220179138YESB0000 001//YESIG61220179 138/EURONET SERVICES IND,Receipt,11178.00,
04/05/2026,NEFT_IN:22CITIN266 62848687CITI010000 0//CITIN26662848687 /INDIAIDEAS.COM LTD BBPS,Receipt,6520.50,
04/05/2026,NEFT_IN:23CITIN266 62853892CITI010000 0//CITIN26662853892 /INDIAIDEAS.COM LIMITED-,Receipt,931.50,
04/05/2026,NEFT_IN:26SCBLH1 2400631544SCBL003 6001//SCBLH124006 31544/EURONET SERVICES INDIA P,Receipt,13972.50,
04/05/2026,NEFT_CHRG:PUNB Q26124858375/HDF C0004081/047925600 03326,Payment,5.61,
04/05/2026,NEFT_OUT:PUNBQ2 6124858375/BHAWA NI GAS SEWA /HDFC0004081/0479 256000332,Payment,100000.00,
04/05/2026,NEFT_IN:32YESIG61 240090819YESB0000 001//YESIG61240090 819/EURONET SERVICES IND,Receipt,6520.50,
04/05/2026,NEFT_IN:33YESIG61 240102873YESB0000 001//YESIG61240102 873/EURONET SERVICES IND,Receipt,6520.50,
04/05/2026,NEFT_IN:37SCBLH1 2400872851SCBL003 6001//SCBLH124008 72851/EURONET SERVICES INDIA P,Receipt,14904.00,
04/05/2026,NEFT_IN:38SBIF400 012467396SBIN0004 266//SBIF400012467 396/HP COTTON TEXTILE MILLS,Receipt,264442.50,
05/05/2026,NEFT_IN:22CITIN266 63944226CITI010000 0//CITIN26663944226 /INDIAIDEAS.COM LTD BBPS,Receipt,2794.50,
05/05/2026,NEFT_IN:23CITIN266 63951520CITI010000 0//CITIN26663951520 /INDIAIDEAS.COM LIMITED-,Receipt,8383.50,
05/05/2026,Charges for RTGS Customer Payment :000666215098,Payment,28.91,
05/05/2026,NRTGS/PUNBR5202 6050516808202/BHA WANI GAS SEWA,Payment,310000.00,
05/05/2026,NEFT_IN:33SCBLH1 2500879774SCBL003 6001//SCBLH125008 79774/EURONET SERVICES INDIA P,Receipt,4657.50,
06/05/2026,NEFT_IN:22CITIN266 64273578CITI010000 0//CITIN26664273578 /INDIAIDEAS.COM LTD BBPS,Receipt,8383.50,
06/05/2026,NEFT_IN:22AXODH1 2690485294UTIB000 1835//AXODH126904 85294/GAGAN RUBBER UDYOG,Receipt,57707.00,
06/05/2026,NEFT_IN:23CITIN266 64277944CITI010000 0//CITIN26664277944 /INDIAIDEAS.COM LIMITED-,Receipt,1863.00,
06/05/2026,NEFT_IN:32YESIG61 260154853YESB0000 001//YESIG61260154 853/EURONET SERVICES IND,Receipt,11178.00,
06/05/2026,NEFT_IN:32YESIG61 260151557YESB0000 001//YESIG61260151 557/EURONET SERVICES IND,Receipt,6520.50,
06/05/2026,NEFT_IN:37SCBLH1 2600941599SCBL003 6001//SCBLH126009 41599/EURONET SERVICES INDIA P,Receipt,17698.50,
07/05/2026,NEFT_IN:23CITIN266 64855363CITI010000 0//CITIN26664855363 /INDIAIDEAS.COM LIMITED-,Receipt,1863.00,
07/05/2026,NEFT_IN:27MAHBH0 0751501269MAHB00 01781//MAHBH00751 501269/shg,Receipt,7180.00,
07/05/2026,NEFT_IN:28CITIN266 64909388CITI010000 0//CITIN26664909388 /INDIAIDEAS.COM LTD BBPS,Receipt,6520.50,
07/05/2026,NEFT_CHRG:PUNBS 26127963473/HDFC0 004081/04792560003 326,Payment,17.41,
07/05/2026,NEFT_OUT:PUNBS2 6127963473/BHWANI GAS SEWA /HDFC0004081/0479 256000332,Payment,120000.00,
07/05/2026,TRF BY H M .GGHS BARSI,Receipt,931.50,
07/05/2026,NEFT_IN:38SCBLH1 2700949637SCBL003 6001//SCBLH127009 49637/EURONET SERVICES INDIA P,Receipt,13041.00,
08/05/2026,NEFT_IN:22CITIN266 65246141CITI010000 0//CITIN26665246141 /INDIAIDEAS.COM LTD BBPS,Receipt,7452.00,
08/05/2026,NEFT_IN:23CITIN266 65252616CITI010000 0//CITIN26665252616 /INDIAIDEAS.COM LIMITED-,Receipt,3726.00,
08/05/2026,NEFT_IN:34YESIG61 280151237YESB0000 001//YESIG61280151 237/EURONET SERVICES IND,Receipt,10246.50,
08/05/2026,NEFT_IN:36SCBLH1 2800778406SCBL003 6001//SCBLH128007 78406/EURONET SERVICES INDIA P,Receipt,14904.00,
11/05/2026,NEFT_IN:22YESIG61 310037751YESB0000 001//YESIG61310037 751/EURONET SERVICES IND,Receipt,4657.50,
11/05/2026,NEFT_IN:22CITIN266 65760895CITI010000 0//CITIN26665760895 /INDIAIDEAS.COM LTD BBPS,Receipt,7452.00,
11/05/2026,NEFT_IN:22CITIN266 65761865CITI010000 0//CITIN26665761865 /INDIAIDEAS.COM LTD BBPS,Receipt,5589.00,
11/05/2026,TRF BY HADMISTRES,Receipt,931.50,
11/05/2026,NEFT_IN:24CITIN266 65777809CITI010000 0//CITIN26665777809 /INDIAIDEAS.COM LIMITED-,Receipt,2794.50,
11/05/2026,NEFT_IN:24CITIN266 65778706CITI010000 0//CITIN26665778706 /INDIAIDEAS.COM LIMITED-,Receipt,5589.00,
11/05/2026,NEFT_IN:27SCBLH1 3100624339SCBL003 6001//SCBLH131006 24339/EURONET SERVICES INDIA P,Receipt,9315.00,
11/05/2026,NEFT_IN:27SCBLH1 3100620769SCBL003 6001//SCBLH131006 20769/EURONET SERVICES INDIA P,Receipt,12109.50,
11/05/2026,NEFT_CHRG:PUNB W26131809300/HDF C0004081/047925600 03326,Payment,17.41,
11/05/2026,NEFT_OUT:PUNBW2 6131809300/BHAWA NI GAS SEWA /HDFC0004081/0479 256000332,Payment,110000.00,
11/05/2026,NEFT_IN:34YESIG61 310139275YESB0000 001//YESIG61310139 275/EURONET SERVICES IND,Receipt,3726.00,
11/05/2026,NEFT_IN:34YESIG61 310140619YESB0000 001//YESIG61310140 619/EURONET SERVICES IND,Receipt,4657.50,
11/05/2026,NEFT_IN:34YESIG61 310136065YESB0000 001//YESIG61310136 065/EURONET SERVICES IND,Receipt,8383.50,
11/05/2026,NEFT_IN:36SCBLH1 3100741233SCBL003 6001//SCBLH131007 41233/EURONET SERVICES INDIA P,Receipt,9315.00,
11/05/2026,NRTGS/SBINR12026 051127433695/21072 9 PCVO1 00411946,Receipt,367567.64,
12/05/2026,NEFT_IN:22CITIN266 67133979CITI010000 0//CITIN26667133979 /INDIAIDEAS.COM LTD BBPS,Receipt,1863.00,
12/05/2026,NEFT_IN:23CITIN266 67140362CITI010000 0//CITIN26667140362 /INDIAIDEAS.COM LIMITED-,Receipt,7452.00,
12/05/2026,Charges for RTGS Customer Payment :000668457287,Payment,28.91,
12/05/2026,NRTGS/PUNBR5202 6051217114248/BHA WANI GAS SEWA,Payment,400000.00,
12/05/2026,NEFT_IN:35SCBLH1 3200680945SCBL003 6001//SCBLH132006 80945/EURONET SERVICES INDIA P,Receipt,6520.50,
12/05/2026,NEFT_IN:36YESIG61 320126292YESB0000 001//YESIG61320126 292/EURONET SERVICES IND,Receipt,11178.00,
13/05/2026,NEFT_IN:22CITIN266 67461752CITI010000 0//CITIN26667461752 /INDIAIDEAS.COM LTD BBPS,Receipt,3726.00,
13/05/2026,NEFT_IN:37YESIG61 330213121YESB0000 001//YESIG61330213 121/EURONET SERVICES IND,Receipt,2794.50,
13/05/2026,NEFT_IN:37SCBLH1 3300772904SCBL003 6001//SCBLH133007 72904/EURONET SERVICES INDIA P,Receipt,15835.50,
14/05/2026,NEFT_IN:22CITIN266 68159368CITI010000 0//CITIN26668159368 /INDIAIDEAS.COM LTD BBPS,Receipt,4657.50,
14/05/2026,NEFT_IN:23CITIN266 68164128CITI010000 0//CITIN26668164128 /INDIAIDEAS.COM LIMITED-,Receipt,931.50,
14/05/2026,NEFT_IN:36SCBLH1 3400676575SCBL003 6001//SCBLH134006 76575/EURONET SERVICES INDIA P,Receipt,8383.50,
14/05/2026,NEFT_IN:38YESIG61 340108178YESB0000 001//YESIG61340108 178/EURONET SERVICES IND,Receipt,5589.00,
15/05/2026,NEFT_IN:22CITIN266 68568883CITI010000 0//CITIN26668568883 /INDIAIDEAS.COM LTD BBPS,Receipt,3726.00,
15/05/2026,NEFT_IN:23CITIN266 68577170CITI010000 0//CITIN26668577170 /INDIAIDEAS.COM LIMITED-,Receipt,3726.00,
15/05/2026,NEFT_IN:36SCBLH1 3500704001SCBL003 6001//SCBLH135007 04001/EURONET SERVICES INDIA P,Receipt,11178.00,
16/05/2026,NEFT_IN:22CITIN266 68840855CITI010000 0//CITIN26668840855 /INDIAIDEAS.COM LTD BBPS,Receipt,5589.00,
16/05/2026,NEFT_IN:23CITIN266 68842982CITI010000 0//CITIN26668842982 /INDIAIDEAS.COM LIMITED-,Receipt,3726.00,
16/05/2026,TRF BY PRINICPAL G.G.SR.SCHOOL LOHARIJATU,Receipt,931.50,
