date,description,voucher_type,amount,closing
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12149226333*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,150.00,1851875.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12149354596*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,200.00,1852075.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12149778927*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,600.00,1852675.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12149805073*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,2500.00,1855175.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12149864471*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,10000.00,1865175.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12149925494*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,1750.00,1866925.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12149960670*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,3000.00,1869925.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12150006623*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,450.00,1870375.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12150109821*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,3800.00,1874175.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12150168216*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,800.00,1874975.23
01/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12150215677*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,150.00,1875125.23
02/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12257358487*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,100.00,1875225.23
02/05/2026,BY TRANSFER-NEFT*UTIB0000553*AXNGG12257535220*GOOGLE INDIADIG- TRANSFER FROM 99509044300 /,Receipt,100.00,1875325.23
