date,description,voucher_type,amount,closing
03/04/2025,Chq No. 240564 CBI NCL AC A,Payment,99000.00,352719.34
03/04/2025,CHEQUE TRANSFER TO,Payment,150000.00,202719.34
04/04/2025,NEFT*HDFC0000240*HDFCH00161499517*CANARA ROBECO MU,Receipt,10249.22,212968.56
04/04/2025,NEFT*HDFC0000240*HDFCH00163390580*ACML CAPITAL MAR,Receipt,351.00,213319.56
06/04/2025,LOCKER CHARGES,Payment,2360.00,210959.56
07/04/2025,NEFT*HDFC0000240*HDFCH00168675460*TMF DIVIDEND A,Receipt,2215.68,213175.24
09/04/2025,ACHCr NACH00000000056540 RAILTEL-2INT,Receipt,155.00,213330.24
11/04/2025,C25946558969 43930428643TVS MOTORCOMPANY LTD,Receipt,5000.00,218330.24
11/04/2025,ACHCr NACH00000000023497 VARUNBEVERAGE,Receipt,5.00,218335.24
16/04/2025,ACHCr HDFC00790000009647 RECLIMITED,Receipt,3240.00,221575.24
16/04/2025,ACHCr NACH00000000013135SAMVARDHANA MO,Receipt,75.00,221650.24
17/04/2025,ACHCr HDFC00822000009708 CASTROLINDIA,Receipt,1900.00,223550.24
19/04/2025,INT TRF FRM 36781771874 TO 10134772947,Receipt,988.00,224538.24
23/04/2025,Chq No. 240566 CBI NCL AC A,Payment,55000.00,169538.24
28/04/2025,NEFT*HDFC0000240*HDFCH00204533770*HDFC BALANCED AD,Receipt,9434.29,178972.53
02/05/2025,NEFT*HDFC0000240*HDFCH00214447975*CANARA ROBECO MU,Receipt,10402.19,189374.72
03/05/2025,CASH DEPOSIT SELF,Receipt,30000.00,219374.72
06/05/2025,ACHCr DEUT00003000002043 HCL 1stIntDiv,Receipt,1800.00,221174.72
13/05/2025,NEFT*HDFC0000240*HDFCH00238463768*TMF DIVIDEND A,Receipt,2278.99,223453.71
15/05/2025,ACHCr NACH00000000023497 VARUNBEVERAGE,Receipt,5.00,223458.71
16/05/2025,Chq No. 240567 CBI NCL AC A,Payment,51000.00,172458.71
17/05/2025,C25951425455 44019400897MUTHOOTFINANCE LTD DW,Receipt,52.00,172510.71
20/05/2025,PFN 4961334 LAURUS LABS LIMITEDNACH00000000006422,Receipt,140.00,172650.71
20/05/2025,ACHCr IBKL00616000011475 PTC INDIALIMI,Receipt,2500.00,175150.71
21/05/2025,Chq No. 240568 CBI NCL AC A,Payment,23000.00,152150.71
28/05/2025,NEFT*HDFC0000240*HDFCH00264694088*HDFC BALANCED AD,Receipt,9434.29,161585.00
29/05/2025,ACHCr HDFC05224000024835 EMAMI LTD,Receipt,40.00,161625.00
30/05/2025,C25953416239 34931984551SBI UNPAIDDIVIDEND A,Receipt,397.50,162022.50
31/05/2025,ACHCr UTIB01890000028852GodrejC1stIntD,Receipt,1800.00,163822.50
02/06/2025,NEFT*HDFC0000240*HDFCH00274562895*MAHINDRA AND MAH,Receipt,1.00,163823.50
03/06/2025,ACHCr NACH00000000060732 LTIMINFINALDI,Receipt,1125.00,164948.50
04/06/2025,NEFT*HDFC0000240*HDFCH00279849687*CANARA ROBECO MU,Receipt,10708.14,175656.64
05/06/2025,ACHCr ICIC03518000006386 Manappuram4TH,Receipt,100.00,175756.64
05/06/2025,C25955265596L&T FINANCE LTDDIVIDEND FY 2024-25,Receipt,20047.50,195804.14
06/06/2025,NEFT*HDFC0000240*HDFCH00284501193*MAHINDRA AND MAH,Receipt,4500.00,200304.14
08/06/2025,INT TRF FRM 36936812243 TO 10134772947,Receipt,1243.00,201547.14
09/06/2025,NEFT*HDFC0000240*HDFCH00291908917*TMF DIVIDEND A,Receipt,2278.99,203826.13
12/06/2025,C25956443614 44097958258ASHOKLEYLAND LIMITED,Receipt,2975.00,206801.13
16/06/2025,Chq No. 240569 CBI NCL AC A,Payment,37000.00,169801.13
16/06/2025,ACHCr HDFC00396000008623Colgate2ndIntD,Receipt,540.00,170341.13
21/06/2025,ACHCr HDFC01255000011014 LARSENAND TOU,Receipt,10771.00,181112.13
21/06/2025,ACHCr HDFC01578000011782TCPLFinDiv2106,Receipt,1113.75,182225.88
23/06/2025,ACHCr HDFC05717000027455TATAMOTORSDIV2,Receipt,600.00,182825.88
24/06/2025,ACHCr UTIB01853000028122 TCS FIN DIV24,Receipt,6000.00,188825.88
24/06/2025,ACHCr NACH00000000064422INOXINDIALIMIT,Receipt,44.00,188869.88
25/06/2025,ACHCr NACH00000000004555LANDTTECHNOLGY,Receipt,608.00,189477.88
26/06/2025,ACHCr IBKL00877000019289 HINDUSTANZINC,Receipt,1000.00,191919.88
26/06/2025,ACHCr HDFC00916000009924TTLFINDIV26062,Receipt,1287.00,193206.88
26/06/2025,ACHCr UCBA00012000001270 UCO BANKDIV 2,Receipt,39.00,193245.88
27/06/2025,NEFT*HDFC0000240*HDFCH00324468484*HDFC BALANCED AD,Receipt,9434.29,202680.17
30/06/2025,ACHCr ICIC02491000005006 INFOSYSLIMITE,Receipt,2200.00,204880.17
30/06/2025,ACHCr UTIB01377000021888TATAELXSIFINDI,Receipt,13500.00,218380.17
30/06/2025,ACHCr NACH00000000022287 HDFCAMCL,Receipt,2700.00,221080.17
30/06/2025,C25959310586 44179798008ASIANPAINTS LIMITED-F,Receipt,411.00,221491.17
30/06/2025,INT TRF FRM 36781771874 TO 10134772947,Receipt,4440.00,225931.17
30/06/2025,INT TRF FRM 36936812243 TO 10134772947,Receipt,466.00,226397.17
30/06/2025,INT TRF FRM 38136327975 TO 10134772947,Receipt,5535.00,231932.17
30/06/2025,INT TRF FRM 38808680113 TO 10134772947,Receipt,5535.00,237467.17
30/06/2025,INT TRF FRM 42307970491 TO 10134772947,Receipt,7380.00,244847.17
30/06/2025,INT TRF FRM 42399068393 TO 10134772947,Receipt,3690.00,248537.17
30/06/2025,INT TRF FRM 42550679525 TO 10134772947,Receipt,3690.00,252227.17
30/06/2025,ACHCr ICIC01859000004364 ICICIPRUDENTI,Receipt,37.40,252264.57
01/07/2025,ACHCr CNRB00046000016522 CANBANKDIV 20,Receipt,6000.00,258264.57
01/07/2025,ACHCr YESB00490000011115 ATGLFNLDIV 20,Receipt,25.00,258289.57
01/07/2025,ACHCr NACH00000000005706 ICICILOMBARD,Receipt,154.00,243643.57
02/07/2025,ACHCr NACH00000000059108 BANK OFBARODA,Receipt,835.00,244478.57
02/07/2025,ACHCr HDFC01143000010464TICLDIV202425,Receipt,1620.00,246098.57
03/07/2025,Chq No. 240570 CBI NCL AC A,Payment,61000.00,185098.57
03/07/2025,ACHCr HDFC02179000016677 TATA CHEMDIV2,Receipt,220.00,185318.57
03/07/2025,NEFT*HDFC0000240*HDFCH00337843589*CANARA ROBECO MU,Receipt,11167.06,196485.63
04/07/2025,ACHCr HSBC00039000001150HINDUSTANUNILE,Receipt,720.00,197205.63
04/07/2025,ACHCr HDFC00678000009461TATASTEELDIV 2,Receipt,9720.00,206925.63
