date,description,voucher_type,amount,closing
02/04/2026,By Clearing:CHIKITSA PRABANDHAN SAMITI,Receipt,298028.93,-298028.93
04/04/2026,To Cash:AT PAR CC CHQ:Paid toSATYA PRAKASH SHARMA,Payment,116500.00,-414528.93
07/04/2026,By Clearing:EXECUTIVE ENGINEER CHAMPAWAT,Receipt,111745.00,-302783.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,22258.00,-280525.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,40480.00,-240045.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,4638.00,-235407.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,27050.00,-208357.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,34310.00,-174047.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,35731.00,-138316.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,24636.00,-113680.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,7705.00,-105975.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,42026.00,-63949.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,20452.00,-43497.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,40576.00,-2921.93
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,45645.00,42723.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,45645.00,88368.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,45645.00,134013.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,21085.00,155098.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,28984.00,184082.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,19128.00,203210.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,23042.00,226252.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,21738.00,247990.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,9347.00,257337.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,8694.00,266031.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,12926.00,278957.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,8608.00,287565.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,14411.00,301976.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,39126.00,341102.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,210075.00,551177.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,42016.00,593193.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,37820.00,631013.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,23186.00,654199.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,15187.00,669386.07
07/04/2026,By Clearing:PARIVAHAN VIBHAG,Receipt,19608.00,688994.07
08/04/2026,By Transfer:NEFT ESTER INDUSTRIES LTD BARBX26098221889: -,Receipt,600.00,689594.07
09/04/2026,By Clearing:BY CLEARING,Receipt,1368.00,690962.07
10/04/2026,By Clearing:CHIKITSA PRABANDHAN SAMITI KTM,Receipt,24000.00,714962.07
15/04/2026,To Cash:AT PAR CC CHQ:Paid toNAVEEN,Payment,160000.00,554962.07
17/04/2026,To Cash:AT PAR CC CHQ:Paid toKISHAN SINGH UPRARI,Payment,35752.00,519210.07
17/04/2026,By Transfer:NEFT ESTER INDUSTRIES LTD BARBU26107871403: -,Receipt,12390.00,531600.07
21/04/2026,By Clearing:D K CHAUBEY,Receipt,71000.00,602600.07
23/04/2026,REMT THRU CHQ:AT PAR CC CHQ: NEFT DIGIMRO DISTRIBUTORS INDIA KNSBN26113458641,Payment,43900.72,558699.35
24/04/2026,By Clearing:A CS M S D MEMORIAL,Receipt,94300.00,652999.35
24/04/2026,By Clearing:PRINCIPAL R I COLLAGE SAJANA,Receipt,9500.00,662499.35
26/04/2026,WDL TFR:INB Within bank bill payment: -,Payment,166300.00,496199.35
27/04/2026,OUT-CHQ RETURN:03-Effects not cleared present again,Payment,94300.00,401899.35
27/04/2026,CHQ RET CHAR -,Payment,250.00,401649.35
27/04/2026,GST -,Payment,45.00,401604.35
27/04/2026,OUT-CHQ RETURN:55-,Payment,9500.00,392104.35
27/04/2026,CHQ RET CHAR -,Payment,250.00,391854.35
27/04/2026,GST -,Payment,45.00,391809.35
27/04/2026,By Clearing:BY CLG,Receipt,30000.00,421809.35
27/04/2026,By Clearing:KHATIMA INSTITUTE OF TEC,Receipt,15000.00,436809.35
27/04/2026,By Clearing:TUTION FEE ACSMAN,Receipt,94300.00,531109.35
27/04/2026,By Transfer:NEFT ESTER INDUSTRIES LTD BARBR26117859437: -,Receipt,32568.00,563677.35
29/04/2026,By Clearing:MOTHER TERES PUBLIC SCHOOL,Receipt,10000.00,573677.35
30/04/2026,CREDIT:KC/2026-27/025 30042026 -,Receipt,472.00,574149.35
30/04/2026,CREDIT:KC/2026-27/022 30042026 -,Receipt,350.00,574499.35
30/04/2026,DR INTEREST -,Payment,551.00,573948.35
