date,description,voucher_type,amount,closing
02/04/2025,BY TR KOYANA EDU SOC TALDEV -,Receipt,344090.00,344090.00
04/04/2025,BY CASH,Payment,100000.00,244090.00
05/04/2025,ADHIKSHAK KOYANAMAI VASTIGRUH TALDEV -,Receipt,260260.00,504350.00
08/04/2025,TO SELF,Payment,150000.00,354350.00
16/04/2025,Charges for NEFT Customer Payment:000001221909 -,Payment,5.90,354344.10
16/04/2025,Dr.for PORD:NEFT/HDFC0000790/SDCEQ25106272169/SHRE,Payment,60310.00,294034.10
21/04/2025,By Clearing/18154/K R ZAREKAR AND COMPANY TAPOLA,Payment,12706.00,281328.10
22/04/2025,Charges for NEFT Customer Payment:000001261870 -,Payment,5.90,281322.20
22/04/2025,Dr.for PORD:NEFT/KUCB0488003/SDCEQ25112315376/AJIT,Payment,15232.00,266090.20
23/04/2025,Charges for RTGS:SDCEH25113047705/000001276717 -,Payment,29.50,266060.70
23/04/2025,Dr.for PORD:RTGS/IBKL0000629/SDCEH25113047705/K R,Payment,250000.00,16060.70
25/04/2025,TO TR GRAM AROGYA POSHAN PANI PURAVATHA SWACHATA S -,Receipt,1000.00,17060.70
28/04/2025,SUPRITEND YASHVANT GURUKUL TAPOLA -,Receipt,103310.00,120370.70
29/04/2025,BY TRA ADHIKSHAK KOYANAMAI VASTIGRUH TALDEV -,Receipt,111650.00,232020.70
06/05/2025,Dr.for PORD:RTGS/IBKL0000629/SDCEH25126050775/K R,Payment,200000.00,32020.70
20/05/2025,Dr.for PORD:NEFT/ICIC0000650/SDCEQ25140503674/FUTR,Payment,1003.00,31017.70
21/05/2025,IMPS/P2A/514110000742/NSDLPB DMT/502000000000/NSPB -,Receipt,1.00,31018.70
22/05/2025,NILAM HIRISHCHANDRA JANGAM -,Receipt,19750.00,50768.70
28/05/2025,NEFT Cr.for UTR:SDCE0001053/ICIN214801522106/STLMT -,Receipt,1.00,50769.70
03/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN218436685454/STLMT -,Receipt,5475.00,56244.70
03/07/2025,TO SELF,Payment,50000.00,6244.70
03/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN218437389553/STLMT -,Receipt,2764.00,9008.70
04/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN218537845655/ICICI -,Receipt,185.00,9193.70
04/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN218538425070/ICICI -,Receipt,970.00,10163.70
05/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN218639501425/ICICI -,Receipt,1280.00,11443.70
05/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN218644234794/ICICI -,Receipt,50.00,11493.70
06/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN218745340191/ICICI -,Receipt,150.00,11643.70
14/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN219502670488/STLMT -,Receipt,110.00,11753.70
15/07/2025,NEFT Cr.for UTR:SDCE0001053/ICIN219603061515/STLMT -,Receipt,240.00,11993.70
25/07/2025,BY TR GRAM PANCHAYAT PALI ATEGAO -,Receipt,3300.00,15293.70
17/09/2025,Half Yearly A/c Maint Charges -,Payment,59.00,15234.70
20/09/2025,TO SELF,Payment,15000.00,234.70
21/10/2025,NEFT Cr.for UTR:SDCE0001053/ICIN229400421534/STLMT -,Receipt,1844.40,2079.10
21/10/2025,NEFT Cr.for UTR:SDCE0001053/ICIN229400723374/STLMT -,Receipt,7785.00,9864.10
22/10/2025,NEFT Cr.for UTR:SDCE0001053/ICIN229501022888/STLMT -,Receipt,1795.00,11659.10
22/10/2025,NEFT Cr.for UTR:SDCE0001053/ICIN229501238212/STLMT -,Receipt,8990.00,20649.10
14/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22601430497188/STLMT -,Receipt,124.00,20773.10
14/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22601430963027/STLMT -,Receipt,130.00,20903.10
20/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602034427890/STLMT -,Receipt,180.00,21083.10
21/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602135719432/STLMT -,Receipt,720.00,21803.10
21/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602136302212/STLMT -,Receipt,180.00,21983.10
23/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602337994010/STLMT -,Receipt,15.00,21998.10
25/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602539371349/STLMT -,Receipt,480.00,22478.10
26/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602639502110/STLMT -,Receipt,55.00,22533.10
27/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602739654887/STLMT -,Receipt,85.00,22618.10
27/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602740105218/STLMT -,Receipt,200.00,22818.10
27/01/2026,SARPANCH GRAMPANCHAYAT AMSHI (GRAMNIDHI) -,Receipt,1045.00,23863.10
28/01/2026,NEFT Cr.for UTR:SDCE0001053/IN22602841249436/STLMT -,Receipt,160.00,24023.10
03/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22603448274745/STLMT -,Receipt,45.00,24068.10
04/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22603548853623/STLMT -,Receipt,293.00,24361.10
05/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22603649741720/STLMT -,Receipt,2490.00,26851.10
06/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22603701815816/STLMT -,Receipt,780.00,27631.10
07/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22603802562011/STLMT -,Receipt,410.00,28041.10
07/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22603803864865/STLMT -,Receipt,50.00,28091.10
12/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604308041567/STLMT -,Receipt,895.00,28986.10
12/02/2026,KRUSHI UTPANNA BAJAR SAMITI JAWALI,Payment,12870.00,16116.10
12/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604308493332/STLMT -,Receipt,180.00,16296.10
14/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604510039511/STLMT -,Receipt,65.00,16361.10
14/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604510220027/STLMT -,Receipt,45.00,16406.10
15/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604610335940/STLMT -,Receipt,140.00,16546.10
15/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604610430429/STLMT -,Receipt,4650.00,21196.10
16/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604710740402/STLMT -,Receipt,30.00,21226.10
18/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22604912913966/STLMT -,Receipt,745.00,21971.10
19/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605014520504/STLMT -,Receipt,149.00,22120.10
19/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605015104282/STLMT -,Receipt,370.00,22490.10
21/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605216608459/STLMT -,Receipt,570.00,23060.10
22/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605317258771/STLMT -,Receipt,110.00,23170.10
23/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605417412894/STLMT -,Receipt,650.00,23820.10
24/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605519018385/STLMT -,Receipt,37.00,23857.10
25/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605619438483/STLMT -,Receipt,930.00,24787.10
25/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605619815080/STLMT -,Receipt,380.00,25167.10
26/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605720250465/STLMT -,Receipt,1130.00,26297.10
27/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605821433845/STLMT -,Receipt,210.00,26507.10
28/02/2026,NEFT Cr.for UTR:SDCE0001053/IN22605923118045/STLMT -,Receipt,90.00,26597.10
02/03/2026,NEFT Cr.for UTR:SDCE0001053/IN22606124429375/STLMT -,Receipt,3335.00,29932.10
