"TRAN DATE","VALUE DATE","NARRATION","CHQ.NO.","WITHDRAWAL(DR)","DEPOSIT(CR)","BALANCE(INR)","Page Number","Minus"
"06/06/2026","06/06/2026","RTGS-HDFCR52026060667624223-AB CASTINGS","","","12,50,000.00","12,58,838.88Cr","1","1"
"07/06/2026","07/06/2026","EBANK:1511692791//26060700160890/CB DT TIN20","","91,110.00","","11,67,728.88Cr","1","1"
"07/06/2026","07/06/2026","IMPS/P2A/615818730874/XXXXXXXXXX3 693/CreditCard","","95,025.00","","10,72,703.88Cr","1","1"
"07/06/2026","07/06/2026","CHARGES FOR :IMPS/P2A/615818730874/XXXXXXXX","","8.85","","10,72,695.03Cr","1","1"
"08/06/2026","08/06/2026","RTGS-HDFCR52026060868080498-AB CASTINGS","","","9,25,000.00","19,97,695.03Cr","1","1"
"08/06/2026","08/06/2026","Charges for PORD Customer Payment :003715259660","","58.00","","19,97,637.03Cr","1","1"
"08/06/2026","08/06/2026","RTGS-BARBR52026060800829358- MSEDCL SBI NEW-STATE B","","10,54,680.00","","9,42,957.03Cr","1","1"
"10/06/2026","10/06/2026","Loan Recovery For76370600001510","","1,94,901.00","","7,48,056.03Cr","1","1"
"10/06/2026","10/06/2026","IMPS/P2A/616115639644/XXXXXXXXXX4 589/munna","","34,178.00","","7,13,878.03Cr","1","1"
"10/06/2026","10/06/2026","CHARGES FOR :IMPS/P2A/616115639644/XXXXXXXX","","8.85","","7,13,869.18Cr","1","1"
"10/06/2026","10/06/2026","IMPS/P2A/616116605520/ABHIJIT PRAMOD/abc loanSBA9","","","35,000.00","7,48,869.18Cr","1","1"
"10/06/2026","10/06/2026","EBANK:1512189997\26062700043543\GS T","","7,45,262.00","","3,607.18Cr","1","1"
"11/06/2026","11/06/2026","NEFT-BNPAH26162NAAE50-CALDERYS INDIA REFRACTORIES","","","20,738.00","24,345.18Cr","1","1"
"13/06/2026","13/06/2026","RTGS-HDFCR52026061370373005-S S METAL AND ALLOYS","","","7,00,000.00","7,24,345.18Cr","1","1"
"13/06/2026","13/06/2026","Charges for PORD Customer Payment :003729043433","","29.00","","7,24,316.18Cr","1","1"
"13/06/2026","13/06/2026","RTGS-BARBR52026061300866074- ABHIJIT MANDAVGANE-STA","","2,00,000.00","","5,24,316.18Cr","1","1"
"13/06/2026","13/06/2026","Charges for PORD Customer Payment :003729056859","","5.60","","5,24,310.58Cr","1","1"
"13/06/2026","13/06/2026","NEFT-BARBQ26164959118-ABHIJIT MANDAVGANE-STATE BAN","","35,000.00","","4,89,310.58Cr","1","1"
