"Date","Narration","Chq./Ref.No.","Value Dt","Withdrawal Amt.","Deposit Amt.","Closing Balance","Page Number","Minus"
"01/05/2026","EMI 125370720 CHQ S1253707200152 0526125370720","0000000125370720","01/05/26","43,567.00","","-5,685,417.01","1","1"
"01/05/2026","EMI 125370720 CHQ S1253707200152 0526125370720","0000000125370720","01/05/26","","43,567.00","-5,641,850.01","1","1"
"04/05/2026","O/S INTEREST TRANSFER FROM A/CXXXXXXXXXX9271","000000000000000","04/05/26","","19,637.20","-5,622,212.81","1","1"
"04/05/2026","NEFT CR-PUNB0329700-BHAWANI GASSEWA-BHAWANI GAS SEWA-PUNBQ26124858375","PUNBQ26124858375","04/05/26","","100,000.00","-5,522,212.81","1","1"
"05/05/2026","I/W CHQ RETURN-CTS S1-RK SALAI BRA","0000000000000259","05/05/26","180,203.00","","-5,702,415.81","1","1"
"05/05/2026","I/W CHQ RETURN-CTS S1-RK SALAI BRA","0000000000000259","05/05/26","","180,203.00","-5,522,212.81","1","1"
"05/05/2026","NEFT DR-PUNB0329700-CHANIGA FILLING STATION-NETBANK,MUM-HDFCH00975324474-NBISLRTPMTKXUGJO","HDFCH00975324474","05/05/26","180,203.00","","-5,702,415.81","1","1"
"06/05/2026","PENAL CHARGES","000000000000000","06/05/26","9,017.49","","-5,711,433.30","1","1"
"06/05/2026","EMI 125370720 CHQ S1253707200152 0526125370720-125370720","000000000000000","06/05/26","43,567.00","","-5,755,000.30","1","1"
"06/05/2026","CGST-SERVICECHARGE-STAXUPLOAD-NCB2712694541907","NCB2712694541907","06/05/26","559.91","","-5,755,560.21","1","1"
"06/05/2026","SGST-SERVICECHARGE-STAXUPLOAD-NCB2712694541907","NCB2712694541907","06/05/26","559.91","","-5,756,120.12","1","1"
"06/05/2026","EEGCOMMITMENTFEEMAR26_04792560003326","000000000000000","06/05/26","6,221.25","","-5,762,341.37","1","1"
"07/05/2026","EMI 154052977 CHQ S1540529770123 0526154052977","000000000000000","07/05/26","12,616.00","","-5,774,957.37","1","1"
"07/05/2026","RTGS CR-UTIB0BHIW01-BHAWANI GASSEWA-BHAWANI GAS SEWA-UTIBR72026050700421992","UTIBR72026050700","07/05/26","","400,000.00","-5,374,957.37","1","1"
"07/05/2026","0705 OVERDUE LOAN -125370720 RECOVERED","000000000000000","07/05/26","450.00","","-5,375,407.37","2","1"
"07/05/2026","NEFT CR-PUNB0329700-BHAWANI GASSEWA-BHWANI GAS SEWA-PUNBS26127963473","PUNBS26127963473","07/05/26","","120,000.00","-5,255,407.37","2","1"
"08/05/2026","NEFT DR-PUNB0329700-CHANIGA FILLING STATION-NETBANK,MUM-HDFCH00984582407-CHANGIYA FILLING","HDFCH00984582407","08/05/26","54,998.00","","-5,310,405.37","2","1"
"09/05/2026","K4UXQ5EMA54KHPORCE/PAYUDIRECTORATEOFT","RE 0002644512900133","09/05/26","500.00","","-5,310,905.37","2","1"
